contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	Ends Dog Racing	state	No	Florida;Alachua County	total	32518
BallotMeasure	Ends Dog Racing	state	No	Florida;Baker County	total	5876
BallotMeasure	Ends Dog Racing	state	No	Florida;Bay County	total	27550
BallotMeasure	Ends Dog Racing	state	No	Florida;Bradford County	total	4968
BallotMeasure	Ends Dog Racing	state	No	Florida;Brevard County	total	78452
BallotMeasure	Ends Dog Racing	state	No	Florida;Broward County	total	151812
BallotMeasure	Ends Dog Racing	state	No	Florida;Calhoun County	total	2546
BallotMeasure	Ends Dog Racing	state	No	Florida;Charlotte County	total	27467
BallotMeasure	Ends Dog Racing	state	No	Florida;Citrus County	total	26954
BallotMeasure	Ends Dog Racing	state	No	Florida;Clay County	total	37656
BallotMeasure	Ends Dog Racing	state	No	Florida;Collier County	total	42884
BallotMeasure	Ends Dog Racing	state	No	Florida;Columbia County	total	11033
BallotMeasure	Ends Dog Racing	state	No	Florida;Desoto County	total	3948
BallotMeasure	Ends Dog Racing	state	No	Florida;Dixie County	total	3497
BallotMeasure	Ends Dog Racing	state	No	Florida;Duval County	total	123659
BallotMeasure	Ends Dog Racing	state	No	Florida;Escambia County	total	43477
BallotMeasure	Ends Dog Racing	state	No	Florida;Flagler County	total	15717
BallotMeasure	Ends Dog Racing	state	No	Florida;Franklin County	total	2277
BallotMeasure	Ends Dog Racing	state	No	Florida;Gadsden County	total	9210
BallotMeasure	Ends Dog Racing	state	No	Florida;Gilchrist County	total	4288
BallotMeasure	Ends Dog Racing	state	No	Florida;Glades County	total	1973
BallotMeasure	Ends Dog Racing	state	No	Florida;Gulf County	total	2616
BallotMeasure	Ends Dog Racing	state	No	Florida;Hamilton County	total	2370
BallotMeasure	Ends Dog Racing	state	No	Florida;Hardee County	total	3323
BallotMeasure	Ends Dog Racing	state	No	Florida;Hendry County	total	4079
BallotMeasure	Ends Dog Racing	state	No	Florida;Hernando County	total	27525
BallotMeasure	Ends Dog Racing	state	No	Florida;Highlands County	total	15949
BallotMeasure	Ends Dog Racing	state	No	Florida;Hillsborough County	total	172389
BallotMeasure	Ends Dog Racing	state	No	Florida;Holmes County	total	4103
BallotMeasure	Ends Dog Racing	state	No	Florida;Indian River County	total	19781
BallotMeasure	Ends Dog Racing	state	No	Florida;Jackson County	total	8393
BallotMeasure	Ends Dog Racing	state	No	Florida;Jefferson County	total	3747
BallotMeasure	Ends Dog Racing	state	No	Florida;Lafayette County	total	1898
BallotMeasure	Ends Dog Racing	state	No	Florida;Lake County	total	46095
BallotMeasure	Ends Dog Racing	state	No	Florida;Lee County	total	92209
BallotMeasure	Ends Dog Racing	state	No	Florida;Leon County	total	47077
BallotMeasure	Ends Dog Racing	state	No	Florida;Levy County	total	9004
BallotMeasure	Ends Dog Racing	state	No	Florida;Liberty County	total	1532
BallotMeasure	Ends Dog Racing	state	No	Florida;Madison County	total	4329
BallotMeasure	Ends Dog Racing	state	No	Florida;Manatee County	total	55517
BallotMeasure	Ends Dog Racing	state	No	Florida;Marion County	total	50314
BallotMeasure	Ends Dog Racing	state	No	Florida;Martin County	total	22001
BallotMeasure	Ends Dog Racing	state	No	Florida;Miami-Dade County	total	146471
BallotMeasure	Ends Dog Racing	state	No	Florida;Monroe County	total	8801
BallotMeasure	Ends Dog Racing	state	No	Florida;Nassau County	total	16195
BallotMeasure	Ends Dog Racing	state	No	Florida;Okaloosa County	total	26929
BallotMeasure	Ends Dog Racing	state	No	Florida;Okeechobee County	total	5331
BallotMeasure	Ends Dog Racing	state	No	Florida;Orange County	total	111728
BallotMeasure	Ends Dog Racing	state	No	Florida;Osceola County	total	27377
BallotMeasure	Ends Dog Racing	state	No	Florida;Palm Beach County	total	147276
BallotMeasure	Ends Dog Racing	state	No	Florida;Pasco County	total	69701
BallotMeasure	Ends Dog Racing	state	No	Florida;Pinellas County	total	157333
BallotMeasure	Ends Dog Racing	state	No	Florida;Polk County	total	83886
BallotMeasure	Ends Dog Racing	state	No	Florida;Putnam County	total	12600
BallotMeasure	Ends Dog Racing	state	No	Florida;Santa Rosa County	total	26890
BallotMeasure	Ends Dog Racing	state	No	Florida;Sarasota County	total	59798
BallotMeasure	Ends Dog Racing	state	No	Florida;Seminole County	total	56720
BallotMeasure	Ends Dog Racing	state	No	Florida;St. Johns County	total	36187
BallotMeasure	Ends Dog Racing	state	No	Florida;St. Lucie County	total	33284
BallotMeasure	Ends Dog Racing	state	No	Florida;Sumter County	total	18969
BallotMeasure	Ends Dog Racing	state	No	Florida;Suwannee County	total	8354
BallotMeasure	Ends Dog Racing	state	No	Florida;Taylor County	total	4529
BallotMeasure	Ends Dog Racing	state	No	Florida;Union County	total	2584
BallotMeasure	Ends Dog Racing	state	No	Florida;Volusia County	total	85943
BallotMeasure	Ends Dog Racing	state	No	Florida;Wakulla County	total	6757
BallotMeasure	Ends Dog Racing	state	No	Florida;Walton County	total	11770
BallotMeasure	Ends Dog Racing	state	No	Florida;Washington County	total	5700
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Alachua County	total	79951
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Baker County	total	4329
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Bay County	total	33803
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Bradford County	total	5245
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Brevard County	total	197729
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Broward County	total	516102
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Calhoun County	total	1860
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Charlotte County	total	57407
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Citrus County	total	42634
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Clay County	total	53219
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Collier County	total	102502
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Columbia County	total	13204
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Desoto County	total	4693
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Dixie County	total	2100
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Duval County	total	241584
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Escambia County	total	81904
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Flagler County	total	35413
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Franklin County	total	2909
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Gadsden County	total	10283
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Gilchrist County	total	2960
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Glades County	total	1772
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Gulf County	total	3023
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Hamilton County	total	1935
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Hardee County	total	2859
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Hendry County	total	4375
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Hernando County	total	51241
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Highlands County	total	22779
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Hillsborough County	total	334200
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Holmes County	total	2423
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Indian River County	total	52187
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Jackson County	total	7129
BallotMeasure	Ends Dog Racing	state	Yes	Florida;Jefferson County	total	3374
