Name	NumberElected	Office	PrimaryParty
VA House District 10 (Democratic Party Primary)	1	VA House District 10	Democratic Party
VA House District 11 (Democratic Party Primary)	1	VA House District 11	Democratic Party
VA House District 12 (Democratic Party Primary)	1	VA House District 12	Democratic Party
VA House District 13 (Democratic Party Primary)	1	VA House District 13	Democratic Party
VA House District 14 (Democratic Party Primary)	1	VA House District 14	Democratic Party
VA House District 15 (Democratic Party Primary)	1	VA House District 15	Democratic Party
VA House District 16 (Democratic Party Primary)	1	VA House District 16	Democratic Party
VA House District 17 (Democratic Party Primary)	1	VA House District 17	Democratic Party
VA House District 18 (Democratic Party Primary)	1	VA House District 18	Democratic Party
VA House District 19 (Democratic Party Primary)	1	VA House District 19	Democratic Party
VA House District 20 (Democratic Party Primary)	1	VA House District 20	Democratic Party
VA House District 21 (Democratic Party Primary)	1	VA House District 21	Democratic Party
VA House District 22 (Democratic Party Primary)	1	VA House District 22	Democratic Party
VA House District 23 (Democratic Party Primary)	1	VA House District 23	Democratic Party
VA House District 24 (Democratic Party Primary)	1	VA House District 24	Democratic Party
VA House District 25 (Democratic Party Primary)	1	VA House District 25	Democratic Party
VA House District 26 (Democratic Party Primary)	1	VA House District 26	Democratic Party
VA House District 27 (Democratic Party Primary)	1	VA House District 27	Democratic Party
VA House District 28 (Democratic Party Primary)	1	VA House District 28	Democratic Party
VA House District 29 (Democratic Party Primary)	1	VA House District 29	Democratic Party
VA House District 30 (Democratic Party Primary)	1	VA House District 30	Democratic Party
VA House District 31 (Democratic Party Primary)	1	VA House District 31	Democratic Party
VA House District 32 (Democratic Party Primary)	1	VA House District 32	Democratic Party
VA House District 33 (Democratic Party Primary)	1	VA House District 33	Democratic Party
VA House District 34 (Democratic Party Primary)	1	VA House District 34	Democratic Party
VA House District 35 (Democratic Party Primary)	1	VA House District 35	Democratic Party
VA House District 36 (Democratic Party Primary)	1	VA House District 36	Democratic Party
VA House District 37 (Democratic Party Primary)	1	VA House District 37	Democratic Party
VA House District 38 (Democratic Party Primary)	1	VA House District 38	Democratic Party
VA House District 39 (Democratic Party Primary)	1	VA House District 39	Democratic Party
VA House District 40 (Democratic Party Primary)	1	VA House District 40	Democratic Party
VA House District 41 (Democratic Party Primary)	1	VA House District 41	Democratic Party
VA House District 42 (Democratic Party Primary)	1	VA House District 42	Democratic Party
VA House District 43 (Democratic Party Primary)	1	VA House District 43	Democratic Party
VA House District 44 (Democratic Party Primary)	1	VA House District 44	Democratic Party
VA House District 45 (Democratic Party Primary)	1	VA House District 45	Democratic Party
VA House District 46 (Democratic Party Primary)	1	VA House District 46	Democratic Party
VA House District 47 (Democratic Party Primary)	1	VA House District 47	Democratic Party
VA House District 48 (Democratic Party Primary)	1	VA House District 48	Democratic Party
VA House District 49 (Democratic Party Primary)	1	VA House District 49	Democratic Party
VA House District 50 (Democratic Party Primary)	1	VA House District 50	Democratic Party
