BallotName	Party
John Croom	Colorado Unaffiliated
Tony Wolusky	Colorado Democratic Party
Chance Hill	Colorado Republican Party
Kerry Donovan	Colorado Democratic Party
Olen Lund	Colorado Republican Party
Erin Kelley	Colorado Democratic Party
James D. "Jim" Wilson	Colorado Republican Party
Glenn Ingalls	Colorado Libertarian Party
Ramsey Lama	Colorado No party
Lynette Mary Wenner	Colorado No party
Jerry Sonnenberg	Colorado Republican Party
Debra Gustafson	Colorado Democratic Party
Rod Pelton	Colorado Republican Party
Bethleen McCall	Colorado Democratic Party
Gerald Keefe	Colorado No party
Beth "Hart" Harz	Colorado Democratic Party
Dennis Hisey	Colorado Republican Party
Kimberly Lynn Wood	Colorado No party
Amanda Jean Hunter	Colorado No party
Matt Soper	Colorado Republican Party
Thea Chase	Colorado Independent
Steven L. Schultz	Colorado No party
Keri A. Yoder	Colorado No party
Julie McCluskie	Colorado Democratic Party
Mike Mason	Colorado Republican Party
Susan Lontine	Colorado Democratic Party
Alysia Padilla	Colorado Republican Party
Darrell Dinges	Colorado Libertarian Party
Shelley I. Gilman	Colorado No party
David H. Goldberg	Colorado No party
Jay Sutherland Grant	Colorado No party
Morris B. Hoffman	Colorado No party
Kenneth Martin Laff	Colorado No party
Catherine A. Lemon	Colorado No party
Jennifer B. Torrington	Colorado No party
Johnny C. Barajas	Colorado No party
Brian Thomas Campbell	Colorado No party
Andrea Eddy	Colorado No party
Adam J. Espinosa	Colorado No party
Olympia Z. Fay	Colorado No party
Clarisse Gonzales	Colorado No party
Kerri Lombardi	Colorado No party
Chelsea Malone	Colorado No party
Alec Garnett	Colorado Democratic Party
Alex Valdez	Colorado Democratic Party
Katherine E. Whitney	Colorado Republican Party
Rory Lamberton	Colorado Libertarian Party
Chris Hansen	Colorado Democratic Party
Leslie Herod	Colorado Democratic Party
Robert Rodriguez	Colorado Democratic Party
Mark Calonder	Colorado Republican Party
Peter Lucas Smith	Colorado Independent
Angie Rivera-Malpiede	Colorado No party
Bonnie Ernest Archuleta	Colorado No party
Julia Stewart	Colorado No party
Eliot Tipton	Colorado No party
Jay Frank Kucera	Colorado Republican Party
James Rashad Coleman	Colorado Democratic Party
Julie Gonzales	Colorado Democratic Party
Gordon Alley	Colorado Republican Party
Robert "Dave" John	Colorado Republican Party
Serena Gonzales-Gutierrez	Colorado Democratic Party
Marc Catlin	Colorado Republican Party
Seth Cagin	Colorado Democratic Party
Todd Jay Plewe	Colorado No party
Mark Baisley	Colorado Republican Party
Kamala Vanderkolk	Colorado Democratic Party
Tony Gross	Colorado Libertarian Party
Lawrence Bowling	Colorado No party
Monica J. Gomez	Colorado No party
Susanna Meissner-Cutler	Colorado No party
Kim Ransom	Colorado Republican Party
Simone Aiken	Colorado Democratic Party
Danielle Kombo	Colorado Democratic Party
Patrick Neville	Colorado Republican Party
Julia Varnell-Sarjeant	Colorado Democratic Party
Chris Holbert	Colorado Republican Party
Steve Peterson	Colorado Independent
Kevin Van Winkle	Colorado Republican Party
Barrett Rothe	Colorado Democratic Party
Scott Wagner	Colorado Unity Party of Colorado
Nicki Mills	Colorado Republican Party
Dylan Roberts	Colorado Democratic Party
Luke Bray	Colorado Unaffiliated
Mary Elizabeth Fabian	Colorado Republican Party
Marc A. Snyder	Colorado Democratic Party
Maile Foster	Colorado Independent
Eric Bentley	Colorado No party
Linda Margaret Billings-Vela	Colorado No party
Jill M. Brady	Colorado No party
Robert L. Lowrey	Colorado No party
Timothy Schutz	Colorado No party
Larry Edward Schwartz	Colorado No party
Scott A. Sells	Colorado No party
David L. Shakes	Colorado No party
Christopher Edward Acker	Colorado No party
Lawrence D. Martin	Colorado No party
Douglas J. Miles	Colorado No party
Ann M. Rotolo	Colorado No party
Tim Geitner	Colorado Republican Party
Asia M. Zanders	Colorado Democratic Party
Terri Carver	Colorado Republican Party
Kent Edward Jarnig	Colorado Democratic Party
Lois Landgraf	Colorado Republican Party
Liz Rosenbaum	Colorado Democratic Party
Gil Armendariz	Colorado Democratic Party
Paul Lundeen	Colorado Republican Party
Shane Sandridge	Colorado Republican Party
Paul J. Haddick	Colorado Democratic Party
