Contest	Selection	CountItemType	Count
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	absentee-mail	445
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	early	9664
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	election-day	8272
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	provisional	73
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	No	total	18454
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	absentee-mail	748
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	early	19584
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	election-day	15283
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	provisional	170
ALAMANCE COUNTY COMMUNITY COLLEGE BONDS	Yes	total	35785
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	702
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	early	15471
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	election-day	13375
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	provisional	153
ALAMANCE COUNTY LOCAL SALES AND USE TAX	Against	total	29701
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	495
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	early	13929
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	election-day	10398
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	provisional	91
ALAMANCE COUNTY LOCAL SALES AND USE TAX	For	total	24913
ALAMANCE COUNTY SCHOOL BONDS	No	absentee-mail	435
ALAMANCE COUNTY SCHOOL BONDS	No	early	8805
ALAMANCE COUNTY SCHOOL BONDS	No	election-day	7343
ALAMANCE COUNTY SCHOOL BONDS	No	provisional	69
ALAMANCE COUNTY SCHOOL BONDS	No	total	16652
ALAMANCE COUNTY SCHOOL BONDS	Yes	absentee-mail	758
ALAMANCE COUNTY SCHOOL BONDS	Yes	early	20563
ALAMANCE COUNTY SCHOOL BONDS	Yes	election-day	16388
ALAMANCE COUNTY SCHOOL BONDS	Yes	provisional	174
ALAMANCE COUNTY SCHOOL BONDS	Yes	total	37883
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	47
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	early	1582
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	election-day	953
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	provisional	0
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	Against	total	2582
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	40
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	early	1232
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	election-day	589
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	provisional	0
ALLEGHANY COUNTY LOCAL SALES AND USE TAX	For	total	1861
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	absentee-mail	95
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	early	2421
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	election-day	2261
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	provisional	17
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	Against	total	4794
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	absentee-mail	52
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	early	1148
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	election-day	1647
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	provisional	13
ANSON COUNTY MALT BEVERAGE ELECTION - HOTELS, ETC.	For	total	2860
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	absentee-mail	111
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	early	2663
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	election-day	2579
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	provisional	21
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	Against	total	5374
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	absentee-mail	36
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	early	851
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	election-day	1278
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	provisional	8
ANSON COUNTY MALT BEVERAGE ELECTION - OFF PREMISES ONLY	For	total	2173
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	Against	absentee-mail	96
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	Against	early	2459
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	Against	election-day	2349
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	Against	provisional	20
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	Against	total	4924
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	For	absentee-mail	54
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	For	early	1123
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	For	election-day	1630
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	For	provisional	10
ANSON COUNTY MALT BEVERAGE ELECTION - ON AND OFF PREMISES	For	total	2817
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	Against	absentee-mail	105
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	Against	early	2531
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	Against	election-day	2411
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	Against	provisional	19
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	Against	total	5066
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	For	absentee-mail	41
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	For	early	1003
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	For	election-day	1486
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	For	provisional	10
ANSON COUNTY MALT BEVERAGE ELECTION - ON PREMISES ONLY	For	total	2540
ANSON COUNTY MIXED BEVERAGE ELECTION	Against	absentee-mail	88
ANSON COUNTY MIXED BEVERAGE ELECTION	Against	early	2270
ANSON COUNTY MIXED BEVERAGE ELECTION	Against	election-day	2164
ANSON COUNTY MIXED BEVERAGE ELECTION	Against	provisional	18
ANSON COUNTY MIXED BEVERAGE ELECTION	Against	total	4540
ANSON COUNTY MIXED BEVERAGE ELECTION	For	absentee-mail	65
ANSON COUNTY MIXED BEVERAGE ELECTION	For	early	1312
ANSON COUNTY MIXED BEVERAGE ELECTION	For	election-day	1780
ANSON COUNTY MIXED BEVERAGE ELECTION	For	provisional	11
ANSON COUNTY MIXED BEVERAGE ELECTION	For	total	3168
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	Against	absentee-mail	109
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	Against	early	2671
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	Against	election-day	2575
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	Against	provisional	18
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	Against	total	5373
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	For	absentee-mail	36
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	For	early	822
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	For	election-day	1269
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	For	provisional	9
ANSON COUNTY UNFORTIFIED WINE ELECTION - OFF PREMISES ONLY	For	total	2136
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	Against	absentee-mail	101
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	Against	early	2463
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	Against	election-day	2333
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	Against	provisional	20
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	Against	total	4917
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	For	absentee-mail	50
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	For	early	1107
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	For	election-day	1601
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	For	provisional	9
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON AND OFF	For	total	2767
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	Against	absentee-mail	101
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	Against	early	2533
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	Against	election-day	2434
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	Against	provisional	20
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	Against	total	5088
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	For	absentee-mail	45
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	For	early	989
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	For	election-day	1433
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	For	provisional	9
ANSON COUNTY UNFORTIFIED WINE ELECTION - ON PREMISES ONLY	For	total	2476
AVERY COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	77
AVERY COUNTY LOCAL SALES AND USE TAX	Against	early	1090
AVERY COUNTY LOCAL SALES AND USE TAX	Against	election-day	2810
AVERY COUNTY LOCAL SALES AND USE TAX	Against	provisional	31
AVERY COUNTY LOCAL SALES AND USE TAX	Against	total	4008
AVERY COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	56
AVERY COUNTY LOCAL SALES AND USE TAX	For	early	757
AVERY COUNTY LOCAL SALES AND USE TAX	For	election-day	1354
AVERY COUNTY LOCAL SALES AND USE TAX	For	provisional	13
AVERY COUNTY LOCAL SALES AND USE TAX	For	total	2180
BERTIE COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	66
BERTIE COUNTY LOCAL SALES AND USE TAX	Against	early	1431
BERTIE COUNTY LOCAL SALES AND USE TAX	Against	election-day	1913
BERTIE COUNTY LOCAL SALES AND USE TAX	Against	provisional	22
BERTIE COUNTY LOCAL SALES AND USE TAX	Against	total	3432
BERTIE COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	24
BERTIE COUNTY LOCAL SALES AND USE TAX	For	early	1279
BERTIE COUNTY LOCAL SALES AND USE TAX	For	election-day	1892
BERTIE COUNTY LOCAL SALES AND USE TAX	For	provisional	18
BERTIE COUNTY LOCAL SALES AND USE TAX	For	total	3213
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	Against	absentee-mail	57074
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	Against	early	1194820
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	Against	election-day	938890
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	Against	provisional	8851
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	Against	total	2199635
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	For	absentee-mail	35527
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	For	early	689339
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	For	election-day	638528
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	For	provisional	7905
BIPARTISAN BOARD OF ETHICS AND ELECTIONS	For	total	1371299
BLADEN COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	550
BLADEN COUNTY LOCAL SALES AND USE TAX	Against	early	4132
BLADEN COUNTY LOCAL SALES AND USE TAX	Against	election-day	3750
BLADEN COUNTY LOCAL SALES AND USE TAX	Against	provisional	8
BLADEN COUNTY LOCAL SALES AND USE TAX	Against	total	8440
BLADEN COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	271
BLADEN COUNTY LOCAL SALES AND USE TAX	For	early	1970
BLADEN COUNTY LOCAL SALES AND USE TAX	For	election-day	1751
BLADEN COUNTY LOCAL SALES AND USE TAX	For	provisional	1
BLADEN COUNTY LOCAL SALES AND USE TAX	For	total	3993
CALDWELL COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	270
CALDWELL COUNTY LOCAL SALES AND USE TAX	Against	early	11025
CALDWELL COUNTY LOCAL SALES AND USE TAX	Against	election-day	7171
CALDWELL COUNTY LOCAL SALES AND USE TAX	Against	provisional	37
CALDWELL COUNTY LOCAL SALES AND USE TAX	Against	total	18503
CALDWELL COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	72
CALDWELL COUNTY LOCAL SALES AND USE TAX	For	early	3617
CALDWELL COUNTY LOCAL SALES AND USE TAX	For	election-day	2582
CALDWELL COUNTY LOCAL SALES AND USE TAX	For	provisional	15
CALDWELL COUNTY LOCAL SALES AND USE TAX	For	total	6286
CASWELL COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	112
CASWELL COUNTY LOCAL SALES AND USE TAX	Against	early	2611
CASWELL COUNTY LOCAL SALES AND USE TAX	Against	election-day	3069
CASWELL COUNTY LOCAL SALES AND USE TAX	Against	provisional	8
CASWELL COUNTY LOCAL SALES AND USE TAX	Against	total	5800
CASWELL COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	30
CASWELL COUNTY LOCAL SALES AND USE TAX	For	early	966
CASWELL COUNTY LOCAL SALES AND USE TAX	For	election-day	1139
CASWELL COUNTY LOCAL SALES AND USE TAX	For	provisional	7
CASWELL COUNTY LOCAL SALES AND USE TAX	For	total	2142
CASWELL COUNTY SCHOOL BONDS	No	absentee-mail	79
CASWELL COUNTY SCHOOL BONDS	No	early	1434
CASWELL COUNTY SCHOOL BONDS	No	election-day	1604
CASWELL COUNTY SCHOOL BONDS	No	provisional	4
CASWELL COUNTY SCHOOL BONDS	No	total	3121
CASWELL COUNTY SCHOOL BONDS	Yes	absentee-mail	62
CASWELL COUNTY SCHOOL BONDS	Yes	early	2192
CASWELL COUNTY SCHOOL BONDS	Yes	election-day	2662
CASWELL COUNTY SCHOOL BONDS	Yes	provisional	11
CASWELL COUNTY SCHOOL BONDS	Yes	total	4927
CITY OF CHARLOTTE HOUSING BONDS	No	absentee-mail	3087
CITY OF CHARLOTTE HOUSING BONDS	No	early	41393
CITY OF CHARLOTTE HOUSING BONDS	No	election-day	43268
CITY OF CHARLOTTE HOUSING BONDS	No	provisional	240
CITY OF CHARLOTTE HOUSING BONDS	No	total	87988
CITY OF CHARLOTTE HOUSING BONDS	Yes	absentee-mail	6203
CITY OF CHARLOTTE HOUSING BONDS	Yes	early	99995
CITY OF CHARLOTTE HOUSING BONDS	Yes	election-day	83521
CITY OF CHARLOTTE HOUSING BONDS	Yes	provisional	556
CITY OF CHARLOTTE HOUSING BONDS	Yes	total	190275
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	No	absentee-mail	2879
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	No	early	36768
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	No	election-day	35783
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	No	provisional	223
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	No	total	75653
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	Yes	absentee-mail	6440
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	Yes	early	104526
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	Yes	election-day	90988
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	Yes	provisional	583
CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENTS BONDS	Yes	total	202537
CITY OF CHARLOTTE TRANSPORTATION BONDS	No	absentee-mail	2828
CITY OF CHARLOTTE TRANSPORTATION BONDS	No	early	42160
CITY OF CHARLOTTE TRANSPORTATION BONDS	No	election-day	40716
CITY OF CHARLOTTE TRANSPORTATION BONDS	No	provisional	251
CITY OF CHARLOTTE TRANSPORTATION BONDS	No	total	85955
CITY OF CHARLOTTE TRANSPORTATION BONDS	Yes	absentee-mail	6451
CITY OF CHARLOTTE TRANSPORTATION BONDS	Yes	early	98558
CITY OF CHARLOTTE TRANSPORTATION BONDS	Yes	election-day	85413
CITY OF CHARLOTTE TRANSPORTATION BONDS	Yes	provisional	547
CITY OF CHARLOTTE TRANSPORTATION BONDS	Yes	total	190969
CITY OF FAYETTEVILLE CHARTER AMENDMENT	No	absentee-mail	828
CITY OF FAYETTEVILLE CHARTER AMENDMENT	No	early	18498
CITY OF FAYETTEVILLE CHARTER AMENDMENT	No	election-day	16232
CITY OF FAYETTEVILLE CHARTER AMENDMENT	No	provisional	153
CITY OF FAYETTEVILLE CHARTER AMENDMENT	No	total	35711
CITY OF FAYETTEVILLE CHARTER AMENDMENT	Yes	absentee-mail	482
CITY OF FAYETTEVILLE CHARTER AMENDMENT	Yes	early	9745
CITY OF FAYETTEVILLE CHARTER AMENDMENT	Yes	election-day	9240
CITY OF FAYETTEVILLE CHARTER AMENDMENT	Yes	provisional	123
CITY OF FAYETTEVILLE CHARTER AMENDMENT	Yes	total	19590
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	No	absentee-mail	1189
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	No	early	17988
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	No	election-day	14437
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	No	provisional	126
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	No	total	33740
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	Yes	absentee-mail	1588
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	Yes	early	27902
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	Yes	election-day	17705
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	Yes	provisional	202
CITY OF WINSTON-SALEM ECONOMIC DEVELOPMENT BONDS	Yes	total	47397
CITY OF WINSTON-SALEM HOUSING BONDS	No	absentee-mail	1063
CITY OF WINSTON-SALEM HOUSING BONDS	No	early	16280
CITY OF WINSTON-SALEM HOUSING BONDS	No	election-day	13771
CITY OF WINSTON-SALEM HOUSING BONDS	No	provisional	119
CITY OF WINSTON-SALEM HOUSING BONDS	No	total	31233
CITY OF WINSTON-SALEM HOUSING BONDS	Yes	absentee-mail	1735
CITY OF WINSTON-SALEM HOUSING BONDS	Yes	early	29846
CITY OF WINSTON-SALEM HOUSING BONDS	Yes	election-day	18515
CITY OF WINSTON-SALEM HOUSING BONDS	Yes	provisional	215
CITY OF WINSTON-SALEM HOUSING BONDS	Yes	total	50311
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	No	absentee-mail	1015
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	No	early	15145
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	No	election-day	12430
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	No	provisional	95
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	No	total	28685
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	Yes	absentee-mail	1738
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	Yes	early	30949
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	Yes	election-day	19820
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	Yes	provisional	236
CITY OF WINSTON-SALEM PARKS AND RECREATION BONDS	Yes	total	52743
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	No	absentee-mail	876
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	No	early	15213
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	No	election-day	12230
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	No	provisional	106
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	No	total	28425
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	Yes	absentee-mail	1875
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	Yes	early	30675
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	Yes	election-day	19903
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	Yes	provisional	225
CITY OF WINSTON-SALEM PUBLIC SAFETY FACILITIES BONDS	Yes	total	52678
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	No	absentee-mail	917
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	No	early	14906
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	No	election-day	11753
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	No	provisional	100
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	No	total	27676
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	Yes	absentee-mail	1808
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	Yes	early	31186
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	Yes	election-day	20527
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	Yes	provisional	232
CITY OF WINSTON-SALEM STREET AND SIDEWALK BONDS	Yes	total	53753
COLUMBUS COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	210
COLUMBUS COUNTY LOCAL SALES AND USE TAX	Against	early	4342
COLUMBUS COUNTY LOCAL SALES AND USE TAX	Against	election-day	5178
COLUMBUS COUNTY LOCAL SALES AND USE TAX	Against	provisional	47
COLUMBUS COUNTY LOCAL SALES AND USE TAX	Against	total	9777
COLUMBUS COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	84
COLUMBUS COUNTY LOCAL SALES AND USE TAX	For	early	3516
COLUMBUS COUNTY LOCAL SALES AND USE TAX	For	election-day	4467
COLUMBUS COUNTY LOCAL SALES AND USE TAX	For	provisional	40
COLUMBUS COUNTY LOCAL SALES AND USE TAX	For	total	8107
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	Against	absentee-mail	0
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	Against	early	1
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	Against	election-day	711
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	Against	provisional	5
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	Against	total	717
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	For	absentee-mail	0
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	For	early	7
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	For	election-day	888
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	For	provisional	13
DAVIE COUNTY - ADVANCE RURAL FIRE PROTECTION DISTRICT TAX	For	total	908
DAVIE COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	230
DAVIE COUNTY LOCAL SALES AND USE TAX	Against	early	4624
DAVIE COUNTY LOCAL SALES AND USE TAX	Against	election-day	4056
DAVIE COUNTY LOCAL SALES AND USE TAX	Against	provisional	47
DAVIE COUNTY LOCAL SALES AND USE TAX	Against	total	8957
DAVIE COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	170
DAVIE COUNTY LOCAL SALES AND USE TAX	For	early	4083
DAVIE COUNTY LOCAL SALES AND USE TAX	For	election-day	3864
DAVIE COUNTY LOCAL SALES AND USE TAX	For	provisional	39
DAVIE COUNTY LOCAL SALES AND USE TAX	For	total	8156
FORSYTH COUNTY LOCAL SALES AND USE TAX	Against	absentee-mail	3035
FORSYTH COUNTY LOCAL SALES AND USE TAX	Against	early	48542
FORSYTH COUNTY LOCAL SALES AND USE TAX	Against	election-day	38407
FORSYTH COUNTY LOCAL SALES AND USE TAX	Against	provisional	359
FORSYTH COUNTY LOCAL SALES AND USE TAX	Against	total	90343
FORSYTH COUNTY LOCAL SALES AND USE TAX	For	absentee-mail	1279
FORSYTH COUNTY LOCAL SALES AND USE TAX	For	early	24891
FORSYTH COUNTY LOCAL SALES AND USE TAX	For	election-day	15637
FORSYTH COUNTY LOCAL SALES AND USE TAX	For	provisional	136
FORSYTH COUNTY LOCAL SALES AND USE TAX	For	total	41943
GASTON COUNTY ABC STORE ELECTION	Against	absentee-mail	396
GASTON COUNTY ABC STORE ELECTION	Against	early	10982
GASTON COUNTY ABC STORE ELECTION	Against	election-day	8330
GASTON COUNTY ABC STORE ELECTION	Against	provisional	74
GASTON COUNTY ABC STORE ELECTION	Against	total	19782
GASTON COUNTY ABC STORE ELECTION	For	absentee-mail	888
GASTON COUNTY ABC STORE ELECTION	For	early	23850
GASTON COUNTY ABC STORE ELECTION	For	election-day	21951
GASTON COUNTY ABC STORE ELECTION	For	provisional	218
GASTON COUNTY ABC STORE ELECTION	For	total	46907
GASTON COUNTY MALT BEVERAGE ELECTION	Against	absentee-mail	525
GASTON COUNTY MALT BEVERAGE ELECTION	Against	early	14748
GASTON COUNTY MALT BEVERAGE ELECTION	Against	election-day	11008
GASTON COUNTY MALT BEVERAGE ELECTION	Against	provisional	101
GASTON COUNTY MALT BEVERAGE ELECTION	Against	total	26382
GASTON COUNTY MALT BEVERAGE ELECTION	For	absentee-mail	741
GASTON COUNTY MALT BEVERAGE ELECTION	For	early	19736
GASTON COUNTY MALT BEVERAGE ELECTION	For	election-day	18873
GASTON COUNTY MALT BEVERAGE ELECTION	For	provisional	182
GASTON COUNTY MALT BEVERAGE ELECTION	For	total	39532
GASTON COUNTY MIXED BEVERAGE ELECTION	Against	absentee-mail	417
GASTON COUNTY MIXED BEVERAGE ELECTION	Against	early	11198
GASTON COUNTY MIXED BEVERAGE ELECTION	Against	election-day	8291
GASTON COUNTY MIXED BEVERAGE ELECTION	Against	provisional	80
GASTON COUNTY MIXED BEVERAGE ELECTION	Against	total	19986
GASTON COUNTY MIXED BEVERAGE ELECTION	For	absentee-mail	875
GASTON COUNTY MIXED BEVERAGE ELECTION	For	early	23887
GASTON COUNTY MIXED BEVERAGE ELECTION	For	election-day	22167
GASTON COUNTY MIXED BEVERAGE ELECTION	For	provisional	215
GASTON COUNTY MIXED BEVERAGE ELECTION	For	total	47144
GASTON COUNTY UNFORTIFIED WINE ELECTION	Against	absentee-mail	525
GASTON COUNTY UNFORTIFIED WINE ELECTION	Against	early	14148
GASTON COUNTY UNFORTIFIED WINE ELECTION	Against	election-day	10774
GASTON COUNTY UNFORTIFIED WINE ELECTION	Against	provisional	94
GASTON COUNTY UNFORTIFIED WINE ELECTION	Against	total	25541
GASTON COUNTY UNFORTIFIED WINE ELECTION	For	absentee-mail	745
GASTON COUNTY UNFORTIFIED WINE ELECTION	For	early	20215
