Name	NumberElected	Office	PrimaryParty
IL Senate District 56	1	IL Senate District 56	
IL Senate District 57	1	IL Senate District 57	
IL Senate District 58	1	IL Senate District 58	
IL Senate District 59	1	IL Senate District 59	
US House IL District 1	1	US House IL District 1	
US House IL District 2	1	US House IL District 2	
US House IL District 3	1	US House IL District 3	
US House IL District 4	1	US House IL District 4	
US House IL District 5	1	US House IL District 5	
US House IL District 6	1	US House IL District 6	
US House IL District 7	1	US House IL District 7	
US House IL District 8	1	US House IL District 8	
US House IL District 9	1	US House IL District 9	
US House IL District 10	1	US House IL District 10	
US House IL District 11	1	US House IL District 11	
US House IL District 12	1	US House IL District 12	
US House IL District 13	1	US House IL District 13	
US House IL District 14	1	US House IL District 14	
US House IL District 15	1	US House IL District 15	
US House IL District 16	1	US House IL District 16	
US House IL District 17	1	US House IL District 17	
US House IL District 18	1	US House IL District 18	
US President (IL)	1	US President (IL)	
IL Governor	1	IL Governor	
US Senate IL	1	US Senate IL	
IL Attorney General	1	IL Attorney General	
IL Lieutenant Governor	1	IL Lieutenant Governor	
IL Treasurer	1	IL Treasurer	
IL Comptroller	1	IL Comptroller
IL Secretary of State	1	IL Secretary of State
