cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Anna Moeller	Anna Moeller
Candidate	Anna Schiefelbein	Anna Schiefelbein
Candidate	Anne M. Burke	Anne M. Burke - No
Candidate	Anne M. Burke	Anne M. Burke - Yes
Candidate	Anne M. Heiles	Anne M. Heiles
Candidate	Anne M. Stava-Murray	Anne M. Stava-Murray
Candidate	Anne Shaw	Anne Shaw
Candidate	Anne Stava-Murray	Anne Stava-Murray
Candidate	Anthony Airdo	Anthony Airdo
Candidate	Anthony Beckman	Anthony Beckman
Candidate	Anthony Catella	Anthony Catella
Candidate	Anthony Clark	Anthony Clark
Candidate	Anthony Hinsberger	Anthony Hinsberger
Candidate	Anthony Iosco	Anthony Iosco
Candidate	Anthony Lucafo	Anthony Lucafo
Candidate	Anthony Magliari	Anthony Magliari
Candidate	Antonio 'Tony' Munoz	Antonio 'Tony' Munoz
Candidate	Anub Abraham	Anub Abraham
Candidate	April Troemper	April Troemper
Candidate	Araceli Reyes De La Cruz	Araceli Reyes De La Cruz
Candidate	Arnette R. Hubbard	Arnette R. Hubbard - No
Candidate	Arnette R. Hubbard	Arnette R. Hubbard - Yes
Candidate	Art Bardsley	Art Bardsley
Candidate	Arthur D. Sutton	Arthur D. Sutton
Candidate	Arthur J. Jones	Arthur J. Jones
Candidate	Arthur Noah Siegel	Arthur Noah Siegel
Candidate	Arthur Turner	Arthur Turner
Candidate	Arthur Wesley Willis	Arthur Wesley Willis
Candidate	Arun Pookote	Arun Pookote
Candidate	Ashwin Puri	Ashwin Puri
Candidate	Audrey Tancos	Audrey Tancos
Candidate	Audrey Victoria Cosgrove	Audrey Victoria Cosgrove
Candidate	August (O'Neill) Deuser	August (O'Neill) Deuser
Candidate	August Deuser	August Deuser
Candidate	Aurora Austriaco	Aurora Austriaco
Candidate	Author C. Brumfield	Author C. Brumfield
Candidate	Avery Bourne	Avery Bourne
Candidate	Azam Nizamuddin	Azam Nizamuddin
Candidate	B. Ivonne Hopkins	B. Ivonne Hopkins
Candidate	BARBARA McGOWAN	BARBARA McGOWAN
Candidate	BONNIE CAROL McGRATH	BONNIE CAROL McGRATH
Candidate	BRADEN McCULLOUGH	BRADEN McCULLOUGH
Candidate	BRANDI McGUIRE	BRANDI McGUIRE
Candidate	BRIAN J. McPARTLIN	BRIAN J. McPARTLIN
Candidate	Barack Obama	BARACK OBAMA
Candidate	Barbara 'Bobbi' N. Petrungaro	Barbara 'Bobbi' N. Petrungaro - No
Candidate	Barbara 'Bobbi' N. Petrungaro	Barbara 'Bobbi' N. Petrungaro - Yes
Candidate	Barbara Bellar	Barbara Bellar
Candidate	Barbara Brumfield	Barbara Brumfield
Candidate	Barbara Flynn Currie	Barbara Flynn Currie
Candidate	Barbara Hernandez	Barbara Hernandez
Candidate	Barbara Viviano	Barbara Viviano
Candidate	Barbara Wheeler	Barbara Wheeler
Candidate	Barrett Davie	Barrett Davie
Candidate	Barton Moy	Barton Moy
Candidate	Basileios 'Bill' Foutris	Basileios 'Bill' Foutris
Candidate	Beatriz A. Frausto-Sandoval	Beatriz A. Frausto-Sandoval
Candidate	Beatriz Santiago	Beatriz Santiago - No
Candidate	Beatriz Santiago	Beatriz Santiago - Yes
Candidate	Ben Bierly	Ben Bierly
Candidate	Ben Braun	Ben Braun
Candidate	Ben Hartnell	Ben Hartnell
Candidate	Ben Isabel	Ben Isabel
Candidate	Ben Silvian	Ben Silvian
Candidate	Benetta Mansfield	Benetta Mansfield
Candidate	Benjamin Salzberg	Benjamin Salzberg
Candidate	Benjamin Webb	Benjamin Webb
Candidate	Bernie Sanders	Bernie Sanders
Candidate	Bertina E. Lampkin	Bertina E. Lampkin
Candidate	Bertina E. Lampkin	Bertina E. Lampkin - No
Candidate	Bertina E. Lampkin	Bertina E. Lampkin - Yes
Candidate	Beth Goncher	Beth Goncher
Candidate	Bethany Feeley	Bethany Feeley
Candidate	Betsy Dirksen Londrigan	Betsy Dirksen Londrigan
Candidate	Betsy Shaulis	Betsy Shaulis
Candidate	Bill Brady	Bill Brady
Candidate	Bill Butts	Bill Butts
Candidate	Bill Cunningham	Bill Cunningham
Candidate	Bill Foster	Bill Foster
Candidate	Bill Mitchell	Bill Mitchell
Candidate	Bill Redpath	Bill Redpath
Candidate	Billy Halstead	Billy Halstead
Candidate	Blaine Wilhour	Blaine Wilhour
Candidate	Bob Morgan	Bob Morgan
Candidate	Bob Romanik	Bob Romanik
Candidate	Bobby L. Rush	Bobby L. Rush
Candidate	Bobby Martinez Olson	Bobby Martinez Olson
Candidate	Bobby Pritchett	Bobby Pritchett
Candidate	Bonita Coleman	Bonita Coleman - No
Candidate	Bonita Coleman	Bonita Coleman - Yes
Candidate	Bonnie M. Wheaton	Bonnie M. Wheaton - No
Candidate	Bonnie M. Wheaton	Bonnie M. Wheaton - Yes
Candidate	Brad Bielert	Brad Bielert
Candidate	Brad Halbrook	Brad Halbrook
Candidate	Brad K. Bleyer	Brad K. Bleyer
Candidate	Brad K. Bleyer	Brad K. Bleyer - No
Candidate	Brad K. Bleyer	Brad K. Bleyer - Yes
Candidate	Brad Lippitz	Brad Lippitz
Candidate	Brad Paisley	Brad Paisley
Candidate	Brad S. Telander	Brad S. Telander
Candidate	Brad Schneider	Brad Schneider
Candidate	Brad Stephens	Brad Stephens
Candidate	Bradley J. Waller	Bradley J. Waller
Candidate	Bradley R. Trowbridge	Bradley R. Trowbridge
Candidate	Brandon Adams	Brandon Adams
Candidate	Brandon Johnson	Brandon Johnson
Candidate	Brandon W. Phelps	Brandon W. Phelps
Candidate	Brenda Rodgers	Brenda Rodgers
Candidate	Brendan A. O'Brien	Brendan A. O'Brien
Candidate	Brendan Kelly	Brendan Kelly
Candidate	Brendan Maher	Brendan Maher - No
Candidate	Brendan Maher	Brendan Maher - Yes
Candidate	Brendan Reilly	Brendan Reilly
Candidate	Brian Burns	Brian Burns
Candidate	Brian Carroll	Brian Carroll
Candidate	Brian Dupuis	Brian Dupuis
Candidate	Brian F. Telander	Brian F. Telander
Candidate	Brian Hathaway	Brian Hathaway
Candidate	Brian Lee O'Donnell	Brian Lee O'Donnell
Candidate	Brian P. Guthrie	Brian P. Guthrie
Candidate	Brian Pioppo	Brian Pioppo
Candidate	Brian Sager	Brian Sager
Candidate	Brian Shields	Brian Shields
Candidate	Brian Solar	Brian Solar
Candidate	Brian Stout	Brian Stout
Candidate	Brian T. Shinkle	Brian T. Shinkle
Candidate	Brian W. Stewart	Brian W. Stewart
Candidate	Brian Wilens	Brian Wilens
Candidate	Brian Zheng	Brian Zheng
Candidate	Bridget Flynn	Bridget Flynn
Candidate	Bridget M. Fitzgerald	Bridget M. Fitzgerald
Candidate	Brien J. O'Brien	Brien J. O'Brien - No
Candidate	Brien J. O'Brien	Brien J. O'Brien - Yes
Candidate	Brigette Fiday	Brigette Fiday
Candidate	Brittany Michelle Pedersen	Brittany Michelle Pedersen
Candidate	Bruce C Beal	Bruce C Beal
Candidate	Bruce Fehrenbacher	Bruce Fehrenbacher
Candidate	Bruce Rauner	Bruce Rauner
Candidate	Bryan Robinson	Bryan Robinson
Candidate	Bryen Johnson	Bryen Johnson
Candidate	Bubba Harsy	Bubba Harsy
Candidate	Bunheng Lai	Bunheng Lai
Candidate	Byron Sigcho-Lopez	Byron Sigcho-Lopez
Candidate	CAROL McCLAINE	CAROL McCLAINE
Candidate	CHARLES McGORRAY	CHARLES McGORRAY
