Name	ElectionDistrict
IL Senate District 42	Illinois;IL Senate District 42
IL Senate District 43	Illinois;IL Senate District 43
IL Senate District 44	Illinois;IL Senate District 44
IL Senate District 45	Illinois;IL Senate District 45
IL Senate District 46	Illinois;IL Senate District 46
IL Senate District 47	Illinois;IL Senate District 47
IL Senate District 48	Illinois;IL Senate District 48
IL Senate District 49	Illinois;IL Senate District 49
IL Senate District 50	Illinois;IL Senate District 50
IL Senate District 51	Illinois;IL Senate District 51
IL Senate District 52	Illinois;IL Senate District 52
IL Senate District 53	Illinois;IL Senate District 53
IL Senate District 54	Illinois;IL Senate District 54
IL Senate District 55	Illinois;IL Senate District 55
IL Senate District 56	Illinois;IL Senate District 56
IL Senate District 57	Illinois;IL Senate District 57
IL Senate District 58	Illinois;IL Senate District 58
IL Senate District 59	Illinois;IL Senate District 59
US House IL District 1	Illinois;US House IL District 1
US House IL District 2	Illinois;US House IL District 2
US House IL District 3	Illinois;US House IL District 3
US House IL District 4	Illinois;US House IL District 4
US House IL District 5	Illinois;US House IL District 5
US House IL District 6	Illinois;US House IL District 6
US House IL District 7	Illinois;US House IL District 7
US House IL District 8	Illinois;US House IL District 8
US House IL District 9	Illinois;US House IL District 9
US House IL District 10	Illinois;US House IL District 10
US House IL District 11	Illinois;US House IL District 11
US House IL District 12	Illinois;US House IL District 12
US House IL District 13	Illinois;US House IL District 13
US House IL District 14	Illinois;US House IL District 14
US House IL District 15	Illinois;US House IL District 15
US House IL District 16	Illinois;US House IL District 16
US House IL District 17	Illinois;US House IL District 17
US House IL District 18	Illinois;US House IL District 18
US President (IL)	Illinois
IL Governor	Illinois
US Senate IL	Illinois
IL Attorney General	Illinois
IL Lieutenant Governor	Illinois
IL Treasurer	Illinois
