Table	Name	ExternalIdentifierType	ExternalIdentifierValue
Office	Maryland;US Congress House of Representatives District 1	md_general	Representative in Congress District 1
Office	Maryland;US Congress House of Representatives District 2	md_general	Representative in Congress District 2
Office	Maryland;US Congress House of Representatives District 3	md_general	Representative in Congress District 3
Office	Maryland;US Congress House of Representatives District 4	md_general	Representative in Congress District 4
Office	Maryland;US Congress House of Representatives District 5	md_general	Representative in Congress District 5
Office	Maryland;US Congress House of Representatives District 6	md_general	Representative in Congress District 6
Office	Maryland;US Congress House of Representatives District 7	md_general	Representative in Congress District 7
Office	Maryland;US Congress House of Representatives District 8	md_general	Representative in Congress District 8
Office	Maryland;Governor / Lt. Governor 	md_general	Governor / Lt. Governor 
Office	Maryland;State's Attorney        	md_general	State's Attorney        
Office	Maryland;Treasurer               	md_general	Treasurer               
Office	Maryland;US Congress Senate            	md_general	U.S. Senator            
Office	Maryland;State Legislature Senate District 1	md_general	State Senator District 1
Office	Maryland;State Legislature Senate District 10	md_general	State Senator District 10
Office	Maryland;State Legislature Senate District 11	md_general	State Senator District 11
Office	Maryland;State Legislature Senate District 12	md_general	State Senator District 12
Office	Maryland;State Legislature Senate District 13	md_general	State Senator District 13
Office	Maryland;State Legislature Senate District 14	md_general	State Senator District 14
Office	Maryland;State Legislature Senate District 15	md_general	State Senator District 15
Office	Maryland;State Legislature Senate District 16	md_general	State Senator District 16
Office	Maryland;State Legislature Senate District 17	md_general	State Senator District 17
Office	Maryland;State Legislature Senate District 18	md_general	State Senator District 18
Office	Maryland;State Legislature Senate District 19	md_general	State Senator District 19
Office	Maryland;State Legislature Senate District 2	md_general	State Senator District 2
Office	Maryland;State Legislature Senate District 20	md_general	State Senator District 20
Office	Maryland;State Legislature Senate District 21	md_general	State Senator District 21
Office	Maryland;State Legislature Senate District 22	md_general	State Senator District 22
Office	Maryland;State Legislature Senate District 23	md_general	State Senator District 23
Office	Maryland;State Legislature Senate District 24	md_general	State Senator District 24
Office	Maryland;State Legislature Senate District 25	md_general	State Senator District 25
Office	Maryland;State Legislature Senate District 26	md_general	State Senator District 26
Office	Maryland;State Legislature Senate District 27	md_general	State Senator District 27
Office	Maryland;State Legislature Senate District 28	md_general	State Senator District 28
Office	Maryland;State Legislature Senate District 29	md_general	State Senator District 29
Office	Maryland;State Legislature Senate District 3	md_general	State Senator District 3
Office	Maryland;State Legislature Senate District 30	md_general	State Senator District 30
Office	Maryland;State Legislature Senate District 31	md_general	State Senator District 31
Office	Maryland;State Legislature Senate District 32	md_general	State Senator District 32
Office	Maryland;State Legislature Senate District 33	md_general	State Senator District 33
Office	Maryland;State Legislature Senate District 34	md_general	State Senator District 34
Office	Maryland;State Legislature Senate District 35	md_general	State Senator District 35
Office	Maryland;State Legislature Senate District 36	md_general	State Senator District 36
Office	Maryland;State Legislature Senate District 37	md_general	State Senator District 37
Office	Maryland;State Legislature Senate District 38	md_general	State Senator District 38
Office	Maryland;State Legislature Senate District 39	md_general	State Senator District 39
Office	Maryland;State Legislature Senate District 4	md_general	State Senator District 4
Office	Maryland;State Legislature Senate District 40	md_general	State Senator District 40
Office	Maryland;State Legislature Senate District 41	md_general	State Senator District 41
Office	Maryland;State Legislature Senate District 42	md_general	State Senator District 42
Office	Maryland;State Legislature Senate District 43	md_general	State Senator District 43
Office	Maryland;State Legislature Senate District 44	md_general	State Senator District 44
Office	Maryland;State Legislature Senate District 45	md_general	State Senator District 45
Office	Maryland;State Legislature Senate District 46	md_general	State Senator District 46
Office	Maryland;State Legislature Senate District 47	md_general	State Senator District 47
