contest_type	Contest	contest_district_type	Selection	ReportingUnit	CountItemType	Count
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caldwell County	election-day	2266
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caldwell County	provisional	9
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	absentee-mail	24
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	early	441
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	election-day	346
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Camden County	provisional	3
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	absentee-mail	210
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	early	4359
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	election-day	2946
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Carteret County	provisional	25
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	absentee-mail	46
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	early	1717
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	election-day	1407
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Caswell County	provisional	9
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	absentee-mail	347
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	early	9539
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	election-day	5610
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Catawba County	provisional	41
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	absentee-mail	691
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	early	13970
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	election-day	4711
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chatham County	provisional	25
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	absentee-mail	75
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	early	1201
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	election-day	1145
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cherokee County	provisional	1
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	absentee-mail	34
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	early	1166
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	election-day	594
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Chowan County	provisional	4
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	absentee-mail	37
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	early	730
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	election-day	424
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Clay County	provisional	5
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	absentee-mail	187
BallotMeasure	REQUIRE PHOTO ID TO VOTE	state	No	North Carolina;Cleveland County	early	6413
