Name	NumberElected	Office	PrimaryParty
CA Senate District 26	1	CA Senate District 26	
CA Senate District 27	1	CA Senate District 27	
CA Senate District 28	1	CA Senate District 28	
CA Senate District 29	1	CA Senate District 29	
CA Senate District 30	1	CA Senate District 30	
CA Senate District 31	1	CA Senate District 31	
CA Senate District 32	1	CA Senate District 32	
CA Senate District 33	1	CA Senate District 33	
CA Senate District 34	1	CA Senate District 34	
CA Senate District 35	1	CA Senate District 35	
CA Senate District 36	1	CA Senate District 36	
CA Senate District 37	1	CA Senate District 37	
CA Senate District 38	1	CA Senate District 38	
CA Senate District 39	1	CA Senate District 39	
CA Senate District 40	1	CA Senate District 40	
US House CA District 1	1	US House CA District 1	
US House CA District 2	1	US House CA District 2	
US House CA District 3	1	US House CA District 3	
US House CA District 4	1	US House CA District 4	
US House CA District 5	1	US House CA District 5	
US House CA District 6	1	US House CA District 6	
US House CA District 7	1	US House CA District 7	
US House CA District 8	1	US House CA District 8	
US House CA District 9	1	US House CA District 9	
US House CA District 10	1	US House CA District 10	
US House CA District 11	1	US House CA District 11	
US House CA District 12	1	US House CA District 12	
US House CA District 13	1	US House CA District 13	
US House CA District 14	1	US House CA District 14	
US House CA District 15	1	US House CA District 15	
US House CA District 16	1	US House CA District 16	
US House CA District 17	1	US House CA District 17	
US House CA District 18	1	US House CA District 18	
US House CA District 19	1	US House CA District 19	
US House CA District 20	1	US House CA District 20	
US House CA District 21	1	US House CA District 21	
US House CA District 22	1	US House CA District 22	
US House CA District 23	1	US House CA District 23	
US House CA District 24	1	US House CA District 24	
US House CA District 25	1	US House CA District 25	
US House CA District 26	1	US House CA District 26	
US House CA District 27	1	US House CA District 27	
US House CA District 28	1	US House CA District 28	
US House CA District 29	1	US House CA District 29	
US House CA District 30	1	US House CA District 30	
US House CA District 31	1	US House CA District 31	
US House CA District 32	1	US House CA District 32	
US House CA District 33	1	US House CA District 33	
US House CA District 34	1	US House CA District 34	
US House CA District 35	1	US House CA District 35	
US House CA District 36	1	US House CA District 36	
US House CA District 37	1	US House CA District 37	
US House CA District 38	1	US House CA District 38	
US House CA District 39	1	US House CA District 39	
US House CA District 40	1	US House CA District 40	
US House CA District 41	1	US House CA District 41	
US House CA District 42	1	US House CA District 42	
US House CA District 43	1	US House CA District 43	
US House CA District 44	1	US House CA District 44	
US House CA District 45	1	US House CA District 45	
US House CA District 46	1	US House CA District 46	
US House CA District 47	1	US House CA District 47	
US House CA District 48	1	US House CA District 48	
US House CA District 49	1	US House CA District 49	
US House CA District 50	1	US House CA District 50	
US House CA District 51	1	US House CA District 51	
US House CA District 52	1	US House CA District 52	
US House CA District 53	1	US House CA District 53	
US President (CA)	1	US President (CA)
CA Governor	1	CA Governor	
US Senate CA	1	US Senate CA	
CA Attorney General	1	CA Attorney General	
CA Lieutenant Governor	1	CA Lieutenant Governor	
CA Treasurer	1	CA Treasurer	
CA Controller	1	CA Controller
CA Secretary of State	1	CA Secretary of State
CA Insurance Commissioner	1	CA Insurance Commissioner
CA Superintendent of Public Instruction	1	CA Superintendent of Public Instruction
CA House District 1 (Democratic Party)	1	CA House District 1 Democratic Party
CA House District 2 (Democratic Party)	1	CA House District 2 Democratic Party
CA House District 3 (Democratic Party)	1	CA House District 3 Democratic Party
CA House District 4 (Democratic Party)	1	CA House District 4 Democratic Party
CA House District 5 (Democratic Party)	1	CA House District 5 Democratic Party
CA House District 6 (Democratic Party)	1	CA House District 6 Democratic Party
CA House District 7 (Democratic Party)	1	CA House District 7 Democratic Party
CA House District 8 (Democratic Party)	1	CA House District 8 Democratic Party
CA House District 9 (Democratic Party)	1	CA House District 9 Democratic Party
CA House District 10 (Democratic Party)	1	CA House District 10 Democratic Party
CA House District 11 (Democratic Party)	1	CA House District 11 Democratic Party
CA House District 12 (Democratic Party)	1	CA House District 12 Democratic Party
CA House District 13 (Democratic Party)	1	CA House District 13 Democratic Party
CA House District 14 (Democratic Party)	1	CA House District 14 Democratic Party
CA House District 15 (Democratic Party)	1	CA House District 15 Democratic Party
CA House District 16 (Democratic Party)	1	CA House District 16 Democratic Party
CA House District 17 (Democratic Party)	1	CA House District 17 Democratic Party
CA House District 18 (Democratic Party)	1	CA House District 18 Democratic Party
CA House District 19 (Democratic Party)	1	CA House District 19 Democratic Party
CA House District 20 (Democratic Party)	1	CA House District 20 Democratic Party
CA House District 21 (Democratic Party)	1	CA House District 21 Democratic Party
CA House District 22 (Democratic Party)	1	CA House District 22 Democratic Party
CA House District 23 (Democratic Party)	1	CA House District 23 Democratic Party
CA House District 24 (Democratic Party)	1	CA House District 24 Democratic Party
CA House District 25 (Democratic Party)	1	CA House District 25 Democratic Party
CA House District 26 (Democratic Party)	1	CA House District 26 Democratic Party
CA House District 27 (Democratic Party)	1	CA House District 27 Democratic Party
CA House District 28 (Democratic Party)	1	CA House District 28 Democratic Party
CA House District 29 (Democratic Party)	1	CA House District 29 Democratic Party
CA House District 30 (Democratic Party)	1	CA House District 30 Democratic Party
CA House District 31 (Democratic Party)	1	CA House District 31 Democratic Party
CA House District 32 (Democratic Party)	1	CA House District 32 Democratic Party
CA House District 33 (Democratic Party)	1	CA House District 33 Democratic Party
CA House District 34 (Democratic Party)	1	CA House District 34 Democratic Party
CA House District 35 (Democratic Party)	1	CA House District 35 Democratic Party
CA House District 36 (Democratic Party)	1	CA House District 36 Democratic Party
CA House District 37 (Democratic Party)	1	CA House District 37 Democratic Party
CA House District 38 (Democratic Party)	1	CA House District 38 Democratic Party
CA House District 39 (Democratic Party)	1	CA House District 39 Democratic Party
CA House District 40 (Democratic Party)	1	CA House District 40 Democratic Party
CA House District 41 (Democratic Party)	1	CA House District 41 Democratic Party
CA House District 42 (Democratic Party)	1	CA House District 42 Democratic Party
CA House District 43 (Democratic Party)	1	CA House District 43 Democratic Party
CA House District 44 (Democratic Party)	1	CA House District 44 Democratic Party
CA House District 45 (Democratic Party)	1	CA House District 45 Democratic Party
CA House District 46 (Democratic Party)	1	CA House District 46 Democratic Party
CA House District 47 (Democratic Party)	1	CA House District 47 Democratic Party
CA House District 48 (Democratic Party)	1	CA House District 48 Democratic Party
CA House District 49 (Democratic Party)	1	CA House District 49 Democratic Party
CA House District 50 (Democratic Party)	1	CA House District 50 Democratic Party
CA House District 51 (Democratic Party)	1	CA House District 51 Democratic Party
CA House District 52 (Democratic Party)	1	CA House District 52 Democratic Party
CA House District 53 (Democratic Party)	1	CA House District 53 Democratic Party
CA House District 54 (Democratic Party)	1	CA House District 54 Democratic Party
CA House District 55 (Democratic Party)	1	CA House District 55 Democratic Party
CA House District 56 (Democratic Party)	1	CA House District 56 Democratic Party
CA House District 57 (Democratic Party)	1	CA House District 57 Democratic Party
CA House District 58 (Democratic Party)	1	CA House District 58 Democratic Party
CA House District 59 (Democratic Party)	1	CA House District 59 Democratic Party
CA House District 60 (Democratic Party)	1	CA House District 60 Democratic Party
CA House District 61 (Democratic Party)	1	CA House District 61 Democratic Party
CA House District 62 (Democratic Party)	1	CA House District 62 Democratic Party
CA House District 63 (Democratic Party)	1	CA House District 63 Democratic Party
CA House District 64 (Democratic Party)	1	CA House District 64 Democratic Party
CA House District 65 (Democratic Party)	1	CA House District 65 Democratic Party
CA House District 66 (Democratic Party)	1	CA House District 66 Democratic Party
CA House District 67 (Democratic Party)	1	CA House District 67 Democratic Party
CA House District 68 (Democratic Party)	1	CA House District 68 Democratic Party
CA House District 69 (Democratic Party)	1	CA House District 69 Democratic Party
CA House District 70 (Democratic Party)	1	CA House District 70 Democratic Party
CA House District 71 (Democratic Party)	1	CA House District 71 Democratic Party
CA House District 72 (Democratic Party)	1	CA House District 72 Democratic Party
CA House District 73 (Democratic Party)	1	CA House District 73 Democratic Party
CA House District 74 (Democratic Party)	1	CA House District 74 Democratic Party
CA House District 75 (Democratic Party)	1	CA House District 75 Democratic Party
CA House District 76 (Democratic Party)	1	CA House District 76 Democratic Party
CA House District 77 (Democratic Party)	1	CA House District 77 Democratic Party
CA House District 78 (Democratic Party)	1	CA House District 78 Democratic Party
CA House District 79 (Democratic Party)	1	CA House District 79 Democratic Party
CA House District 80 (Democratic Party)	1	CA House District 80 Democratic Party
CA Senate District 1 (Democratic Party)	1	CA Senate District 1 Democratic Party
CA Senate District 2 (Democratic Party)	1	CA Senate District 2 Democratic Party
CA Senate District 3 (Democratic Party)	1	CA Senate District 3 Democratic Party
CA Senate District 4 (Democratic Party)	1	CA Senate District 4 Democratic Party
CA Senate District 5 (Democratic Party)	1	CA Senate District 5 Democratic Party
CA Senate District 6 (Democratic Party)	1	CA Senate District 6 Democratic Party
CA Senate District 7 (Democratic Party)	1	CA Senate District 7 Democratic Party
CA Senate District 8 (Democratic Party)	1	CA Senate District 8 Democratic Party
CA Senate District 9 (Democratic Party)	1	CA Senate District 9 Democratic Party
CA Senate District 10 (Democratic Party)	1	CA Senate District 10 Democratic Party
CA Senate District 11 (Democratic Party)	1	CA Senate District 11 Democratic Party
CA Senate District 12 (Democratic Party)	1	CA Senate District 12 Democratic Party
CA Senate District 13 (Democratic Party)	1	CA Senate District 13 Democratic Party
CA Senate District 14 (Democratic Party)	1	CA Senate District 14 Democratic Party
CA Senate District 15 (Democratic Party)	1	CA Senate District 15 Democratic Party
CA Senate District 16 (Democratic Party)	1	CA Senate District 16 Democratic Party
CA Senate District 17 (Democratic Party)	1	CA Senate District 17 Democratic Party
CA Senate District 18 (Democratic Party)	1	CA Senate District 18 Democratic Party
CA Senate District 19 (Democratic Party)	1	CA Senate District 19 Democratic Party
CA Senate District 20 (Democratic Party)	1	CA Senate District 20 Democratic Party
CA Senate District 21 (Democratic Party)	1	CA Senate District 21 Democratic Party
CA Senate District 22 (Democratic Party)	1	CA Senate District 22 Democratic Party
CA Senate District 23 (Democratic Party)	1	CA Senate District 23 Democratic Party
CA Senate District 24 (Democratic Party)	1	CA Senate District 24 Democratic Party
CA Senate District 25 (Democratic Party)	1	CA Senate District 25 Democratic Party
CA Senate District 26 (Democratic Party)	1	CA Senate District 26 Democratic Party
CA Senate District 27 (Democratic Party)	1	CA Senate District 27 Democratic Party
CA Senate District 28 (Democratic Party)	1	CA Senate District 28 Democratic Party
CA Senate District 29 (Democratic Party)	1	CA Senate District 29 Democratic Party
CA Senate District 30 (Democratic Party)	1	CA Senate District 30 Democratic Party
CA Senate District 31 (Democratic Party)	1	CA Senate District 31 Democratic Party
CA Senate District 32 (Democratic Party)	1	CA Senate District 32 Democratic Party
CA Senate District 33 (Democratic Party)	1	CA Senate District 33 Democratic Party
CA Senate District 34 (Democratic Party)	1	CA Senate District 34 Democratic Party
CA Senate District 35 (Democratic Party)	1	CA Senate District 35 Democratic Party
CA Senate District 36 (Democratic Party)	1	CA Senate District 36 Democratic Party
CA Senate District 37 (Democratic Party)	1	CA Senate District 37 Democratic Party
CA Senate District 38 (Democratic Party)	1	CA Senate District 38 Democratic Party
CA Senate District 39 (Democratic Party)	1	CA Senate District 39 Democratic Party
CA Senate District 40 (Democratic Party)	1	CA Senate District 40 Democratic Party
US House CA District 1 (Democratic Party)	1	US House CA District 1 Democratic Party
US House CA District 2 (Democratic Party)	1	US House CA District 2 Democratic Party
US House CA District 3 (Democratic Party)	1	US House CA District 3 Democratic Party
US House CA District 4 (Democratic Party)	1	US House CA District 4 Democratic Party
US House CA District 5 (Democratic Party)	1	US House CA District 5 Democratic Party
US House CA District 6 (Democratic Party)	1	US House CA District 6 Democratic Party
US House CA District 7 (Democratic Party)	1	US House CA District 7 Democratic Party
US House CA District 8 (Democratic Party)	1	US House CA District 8 Democratic Party
US House CA District 9 (Democratic Party)	1	US House CA District 9 Democratic Party
US House CA District 10 (Democratic Party)	1	US House CA District 10 Democratic Party
US House CA District 11 (Democratic Party)	1	US House CA District 11 Democratic Party
US House CA District 12 (Democratic Party)	1	US House CA District 12 Democratic Party
US House CA District 13 (Democratic Party)	1	US House CA District 13 Democratic Party
US House CA District 14 (Democratic Party)	1	US House CA District 14 Democratic Party
US House CA District 15 (Democratic Party)	1	US House CA District 15 Democratic Party
US House CA District 16 (Democratic Party)	1	US House CA District 16 Democratic Party
US House CA District 17 (Democratic Party)	1	US House CA District 17 Democratic Party
US House CA District 18 (Democratic Party)	1	US House CA District 18 Democratic Party
