Name	NumberElected	Office	PrimaryParty
VT Senate District 24	1	VT Senate District 24	
VT Senate District 25	1	VT Senate District 25	
VT Senate District 26	1	VT Senate District 26	
VT Senate District 27	1	VT Senate District 27	
VT Senate District 28	1	VT Senate District 28	
VT Senate District 29	1	VT Senate District 29	
VT Senate District 30	1	VT Senate District 30	
US House VT District 1	1	US House VT District 1	
US President (VT)	1	US President (VT)	
VT Governor	1	VT Governor	
US Senate VT	1	US Senate VT	
VT Attorney General	1	VT Attorney General	
VT Lieutenant Governor	1	VT Lieutenant Governor	
VT Treasurer	1	VT Treasurer	
VT Secretary of State	1	VT Secretary of State	
