Table	Name	ExternalIdentifierType	ExternalIdentifierValue
Office	North Carolina;General Assembly House of Representatives District 56	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 056
Office	North Carolina;General Assembly House of Representatives District 57	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 057
Office	North Carolina;General Assembly House of Representatives District 58	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 058
Office	North Carolina;General Assembly House of Representatives District 59	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 059
Office	North Carolina;General Assembly House of Representatives District 60	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 060
Office	North Carolina;General Assembly House of Representatives District 61	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 061
Office	North Carolina;General Assembly House of Representatives District 62	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 062
Office	North Carolina;General Assembly House of Representatives District 63	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 063
Office	North Carolina;General Assembly House of Representatives District 64	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 064
Office	North Carolina;General Assembly House of Representatives District 65	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 065
Office	North Carolina;General Assembly House of Representatives District 66	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 066
Office	North Carolina;General Assembly House of Representatives District 67	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 067
Office	North Carolina;General Assembly House of Representatives District 68	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 068
Office	North Carolina;General Assembly House of Representatives District 69	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 069
Office	North Carolina;General Assembly House of Representatives District 70	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 070
Office	North Carolina;General Assembly House of Representatives District 71	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 071
Office	North Carolina;General Assembly House of Representatives District 72	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 072
Office	North Carolina;General Assembly House of Representatives District 73	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 073
Office	North Carolina;General Assembly House of Representatives District 74	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 074
Office	North Carolina;General Assembly House of Representatives District 75	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 075
Office	North Carolina;General Assembly House of Representatives District 76	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 076
Office	North Carolina;General Assembly House of Representatives District 77	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 077
Office	North Carolina;General Assembly House of Representatives District 78	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 078
Office	North Carolina;General Assembly House of Representatives District 79	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 079
Office	North Carolina;General Assembly House of Representatives District 80	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 080
Office	North Carolina;General Assembly House of Representatives District 81	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 081
Office	North Carolina;General Assembly House of Representatives District 82	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 082
Office	North Carolina;General Assembly House of Representatives District 83	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 083
Office	North Carolina;General Assembly House of Representatives District 84	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 084
Office	North Carolina;General Assembly House of Representatives District 85	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 085
Office	North Carolina;General Assembly House of Representatives District 86	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 086
Office	North Carolina;General Assembly House of Representatives District 87	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 087
Office	North Carolina;General Assembly House of Representatives District 88	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 088
Office	North Carolina;General Assembly House of Representatives District 89	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 089
Office	North Carolina;General Assembly House of Representatives District 90	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 090
Office	North Carolina;General Assembly House of Representatives District 91	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 091
Office	North Carolina;General Assembly House of Representatives District 92	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 092
Office	North Carolina;General Assembly House of Representatives District 93	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 093
Office	North Carolina;General Assembly House of Representatives District 94	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 094
Office	North Carolina;General Assembly House of Representatives District 95	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 095
Office	North Carolina;General Assembly House of Representatives District 96	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 096
Office	North Carolina;General Assembly House of Representatives District 97	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 097
Office	North Carolina;General Assembly House of Representatives District 98	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 098
Office	North Carolina;General Assembly House of Representatives District 99	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 099
Office	North Carolina;General Assembly House of Representatives District 100	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 100
Office	North Carolina;General Assembly House of Representatives District 101	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 101
Office	North Carolina;General Assembly House of Representatives District 102	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 102
Office	North Carolina;General Assembly House of Representatives District 103	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 103
Office	North Carolina;General Assembly House of Representatives District 104	nc_general	NC HOUSE OF REPRESENTATIVES DISTRICT 104
