RawName	CountItemType	ContestType	BallotMeasureSelection
Election Day	election-day	Candidate	None
One Stop	early	Candidate	None
Absentee by Mail	absentee-mail	Candidate	None
Provisional	provisional	Candidate	None
Total Votes	total	Candidate	None
Election Day	election-day	BallotMeasure	<Choice>
One Stop	early	BallotMeasure	<Choice>
Absentee by Mail	absentee-mail	BallotMeasure	<Choice>
Provisional	provisional	BallotMeasure	<Choice>
Total Votes	total	BallotMeasure	<Choice>
