Name	NumberElected	Office	PrimaryParty
NY House District 70	1	NY House District 70	
NY House District 71	1	NY House District 71	
NY House District 72	1	NY House District 72	
NY House District 73	1	NY House District 73	
NY House District 74	1	NY House District 74	
NY House District 75	1	NY House District 75	
NY House District 76	1	NY House District 76	
NY House District 77	1	NY House District 77	
NY House District 78	1	NY House District 78	
NY House District 79	1	NY House District 79	
NY House District 80	1	NY House District 80	
NY House District 81	1	NY House District 81	
NY House District 82	1	NY House District 82	
NY House District 83	1	NY House District 83	
NY House District 84	1	NY House District 84	
NY House District 85	1	NY House District 85	
NY House District 86	1	NY House District 86	
NY House District 87	1	NY House District 87	
NY House District 88	1	NY House District 88	
NY House District 89	1	NY House District 89	
NY House District 90	1	NY House District 90	
NY House District 91	1	NY House District 91	
NY House District 92	1	NY House District 92	
NY House District 93	1	NY House District 93	
NY House District 94	1	NY House District 94	
NY House District 95	1	NY House District 95	
NY House District 96	1	NY House District 96	
NY House District 97	1	NY House District 97	
NY House District 98	1	NY House District 98	
NY House District 99	1	NY House District 99	
NY House District 100	1	NY House District 100	
NY House District 101	1	NY House District 101	
NY House District 102	1	NY House District 102	
NY House District 103	1	NY House District 103	
NY House District 104	1	NY House District 104	
NY House District 105	1	NY House District 105	
NY House District 106	1	NY House District 106	
NY House District 107	1	NY House District 107	
NY House District 108	1	NY House District 108	
NY House District 109	1	NY House District 109	
NY House District 110	1	NY House District 110	
NY House District 111	1	NY House District 111	
NY House District 112	1	NY House District 112	
NY House District 113	1	NY House District 113	
NY House District 114	1	NY House District 114	
NY House District 115	1	NY House District 115	
NY House District 116	1	NY House District 116	
NY House District 117	1	NY House District 117	
NY House District 118	1	NY House District 118	
NY House District 119	1	NY House District 119	
NY House District 120	1	NY House District 120	
NY House District 121	1	NY House District 121	
NY House District 122	1	NY House District 122	
NY House District 123	1	NY House District 123	
NY House District 124	1	NY House District 124	
NY House District 125	1	NY House District 125	
NY House District 126	1	NY House District 126	
NY House District 127	1	NY House District 127	
NY House District 128	1	NY House District 128	
NY House District 129	1	NY House District 129	
NY House District 130	1	NY House District 130	
NY House District 131	1	NY House District 131	
NY House District 132	1	NY House District 132	
