Name	ElectionDistrict
NY House District 110	New York;NY House District 110
NY House District 111	New York;NY House District 111
NY House District 112	New York;NY House District 112
NY House District 113	New York;NY House District 113
NY House District 114	New York;NY House District 114
NY House District 115	New York;NY House District 115
NY House District 116	New York;NY House District 116
NY House District 117	New York;NY House District 117
NY House District 118	New York;NY House District 118
NY House District 119	New York;NY House District 119
NY House District 120	New York;NY House District 120
NY House District 121	New York;NY House District 121
NY House District 122	New York;NY House District 122
NY House District 123	New York;NY House District 123
NY House District 124	New York;NY House District 124
NY House District 125	New York;NY House District 125
NY House District 126	New York;NY House District 126
NY House District 127	New York;NY House District 127
NY House District 128	New York;NY House District 128
NY House District 129	New York;NY House District 129
NY House District 130	New York;NY House District 130
NY House District 131	New York;NY House District 131
NY House District 132	New York;NY House District 132
NY House District 133	New York;NY House District 133
NY House District 134	New York;NY House District 134
NY House District 135	New York;NY House District 135
NY House District 136	New York;NY House District 136
NY House District 137	New York;NY House District 137
NY House District 138	New York;NY House District 138
NY House District 139	New York;NY House District 139
NY House District 140	New York;NY House District 140
NY House District 141	New York;NY House District 141
NY House District 142	New York;NY House District 142
NY House District 143	New York;NY House District 143
NY House District 144	New York;NY House District 144
NY House District 145	New York;NY House District 145
NY House District 146	New York;NY House District 146
NY House District 147	New York;NY House District 147
NY House District 148	New York;NY House District 148
NY House District 149	New York;NY House District 149
NY House District 150	New York;NY House District 150
US House NY District 1	New York;US House NY District 1
US House NY District 2	New York;US House NY District 2
US House NY District 3	New York;US House NY District 3
US House NY District 4	New York;US House NY District 4
US House NY District 5	New York;US House NY District 5
US House NY District 6	New York;US House NY District 6
US House NY District 7	New York;US House NY District 7
US House NY District 8	New York;US House NY District 8
US House NY District 9	New York;US House NY District 9
US House NY District 10	New York;US House NY District 10
US House NY District 11	New York;US House NY District 11
US House NY District 12	New York;US House NY District 12
US House NY District 13	New York;US House NY District 13
US House NY District 14	New York;US House NY District 14
US House NY District 15	New York;US House NY District 15
US House NY District 16	New York;US House NY District 16
US House NY District 17	New York;US House NY District 17
US House NY District 18	New York;US House NY District 18
US House NY District 19	New York;US House NY District 19
US House NY District 20	New York;US House NY District 20
US House NY District 21	New York;US House NY District 21
US House NY District 22	New York;US House NY District 22
US House NY District 23	New York;US House NY District 23
US House NY District 24	New York;US House NY District 24
US House NY District 25	New York;US House NY District 25
US House NY District 26	New York;US House NY District 26
US House NY District 27	New York;US House NY District 27
US President (NY)	New York
NY Governor	New York
US Senate NY	New York
NY Attorney General	New York
NY Lieutenant Governor	New York
NY Treasurer	New York
NY Secretary of State	New York
NY Senate District 64	New York;NY Senate District 64
NY Senate District 65	New York;NY Senate District 65
NY Senate District 66	New York;NY Senate District 66
NY Senate District 67	New York;NY Senate District 67
NY Senate District 68	New York;NY Senate District 68
NY Senate District 69	New York;NY Senate District 69
NY Senate District 70	New York;NY Senate District 70
NY Senate District 71	New York;NY Senate District 71
NY Senate District 72	New York;NY Senate District 72
NY Senate District 73	New York;NY Senate District 73
NY Senate District 74	New York;NY Senate District 74
NY Senate District 75	New York;NY Senate District 75
NY Senate District 76	New York;NY Senate District 76
NY Senate District 77	New York;NY Senate District 77
NY Senate District 78	New York;NY Senate District 78
NY Senate District 79	New York;NY Senate District 79
NY Senate District 80	New York;NY Senate District 80
NY Senate District 81	New York;NY Senate District 81
NY Senate District 82	New York;NY Senate District 82
NY Senate District 83	New York;NY Senate District 83
NY Senate District 84	New York;NY Senate District 84
NY Senate District 85	New York;NY Senate District 85
NY Senate District 86	New York;NY Senate District 86
NY Senate District 87	New York;NY Senate District 87
NY Senate District 88	New York;NY Senate District 88
NY Senate District 89	New York;NY Senate District 89
NY Senate District 90	New York;NY Senate District 90
NY Senate District 91	New York;NY Senate District 91
NY Senate District 92	New York;NY Senate District 92
NY Senate District 93	New York;NY Senate District 93
NY Senate District 94	New York;NY Senate District 94
NY Senate District 95	New York;NY Senate District 95
NY Senate District 96	New York;NY Senate District 96
NY Senate District 97	New York;NY Senate District 97
NY Senate District 98	New York;NY Senate District 98
NY Senate District 99	New York;NY Senate District 99
NY Senate District 100	New York;NY Senate District 100
NY Senate District 101	New York;NY Senate District 101
NY Senate District 102	New York;NY Senate District 102
NY Senate District 103	New York;NY Senate District 103
NY Senate District 104	New York;NY Senate District 104
NY Senate District 105	New York;NY Senate District 105
NY Senate District 106	New York;NY Senate District 106
NY Senate District 107	New York;NY Senate District 107
NY Senate District 108	New York;NY Senate District 108
NY Senate District 109	New York;NY Senate District 109
NY Senate District 110	New York;NY Senate District 110
NY Senate District 111	New York;NY Senate District 111
NY Senate District 112	New York;NY Senate District 112
NY Senate District 113	New York;NY Senate District 113
NY Senate District 114	New York;NY Senate District 114
NY Senate District 115	New York;NY Senate District 115
NY Senate District 116	New York;NY Senate District 116
NY Senate District 117	New York;NY Senate District 117
NY Senate District 118	New York;NY Senate District 118
NY Senate District 119	New York;NY Senate District 119
NY Senate District 120	New York;NY Senate District 120
NY Senate District 121	New York;NY Senate District 121
NY Senate District 122	New York;NY Senate District 122
NY Senate District 123	New York;NY Senate District 123
NY Senate District 124	New York;NY Senate District 124
NY Senate District 125	New York;NY Senate District 125
NY Senate District 126	New York;NY Senate District 126
NY Senate District 127	New York;NY Senate District 127
NY Senate District 128	New York;NY Senate District 128
NY Senate District 129	New York;NY Senate District 129
NY Senate District 130	New York;NY Senate District 130
NY Senate District 131	New York;NY Senate District 131
NY Senate District 132	New York;NY Senate District 132
NY Senate District 133	New York;NY Senate District 133
NY Senate District 134	New York;NY Senate District 134
NY Senate District 135	New York;NY Senate District 135
NY Senate District 136	New York;NY Senate District 136
NY Senate District 137	New York;NY Senate District 137
NY Senate District 138	New York;NY Senate District 138
NY Senate District 139	New York;NY Senate District 139
NY Senate District 140	New York;NY Senate District 140
NY Senate District 141	New York;NY Senate District 141
NY Senate District 142	New York;NY Senate District 142
NY Senate District 143	New York;NY Senate District 143
NY Senate District 144	New York;NY Senate District 144
NY Senate District 145	New York;NY Senate District 145
NY Senate District 146	New York;NY Senate District 146
NY Senate District 147	New York;NY Senate District 147
NY Senate District 148	New York;NY Senate District 148
NY Senate District 149	New York;NY Senate District 149
NY Senate District 150	New York;NY Senate District 150
