Name	NumberElected	Office	PrimaryParty
MD Senate District 38	1	MD Senate District 38	
MD Senate District 39	1	MD Senate District 39	
MD Senate District 40	1	MD Senate District 40	
MD Senate District 41	1	MD Senate District 41	
MD Senate District 42	1	MD Senate District 42	
MD Senate District 43	1	MD Senate District 43	
MD Senate District 44	1	MD Senate District 44	
MD Senate District 45	1	MD Senate District 45	
MD Senate District 46	1	MD Senate District 46	
MD Senate District 47	1	MD Senate District 47	
US House MD District 1	1	US House MD District 1	
US House MD District 2	1	US House MD District 2	
US House MD District 3	1	US House MD District 3	
US House MD District 4	1	US House MD District 4	
US House MD District 5	1	US House MD District 5	
US House MD District 6	1	US House MD District 6	
US House MD District 7	1	US House MD District 7	
US House MD District 8	1	US House MD District 8	
US President (MD)	1	US President (MD)	
MD Governor	1	MD Governor	
US Senate MD	1	US Senate MD	
MD Attorney General	1	MD Attorney General	
MD Lieutenant Governor	1	MD Lieutenant Governor	
MD Treasurer	1	MD Treasurer	
MD Secretary of State	1	MD Secretary of State	
