Table	Name	ExternalIdentifierValue
CandidateContest	Florida;General Assembly Senate District 15	State Senator Juris1num 15 Juris2num 
CandidateContest	Florida;General Assembly Senate District 16	State Senator Juris1num 16 Juris2num 
CandidateContest	Florida;General Assembly Senate District 17	State Senator Juris1num 17 Juris2num 
CandidateContest	Florida;General Assembly Senate District 18	State Senator Juris1num 18 Juris2num 
CandidateContest	Florida;General Assembly Senate District 19	State Senator Juris1num 19 Juris2num 
CandidateContest	Florida;General Assembly Senate District 20	State Senator Juris1num 20 Juris2num 
CandidateContest	Florida;General Assembly Senate District 21	State Senator Juris1num 21 Juris2num 
CandidateContest	Florida;General Assembly Senate District 22	State Senator Juris1num 22 Juris2num 
CandidateContest	Florida;General Assembly Senate District 23	State Senator Juris1num 23 Juris2num 
CandidateContest	Florida;General Assembly Senate District 24	State Senator Juris1num 24 Juris2num 
CandidateContest	Florida;General Assembly Senate District 25	State Senator Juris1num 25 Juris2num 
CandidateContest	Florida;General Assembly Senate District 26	State Senator Juris1num 26 Juris2num 
CandidateContest	Florida;General Assembly Senate District 27	State Senator Juris1num 27 Juris2num 
CandidateContest	Florida;General Assembly Senate District 28	State Senator Juris1num 28 Juris2num 
CandidateContest	Florida;General Assembly Senate District 29	State Senator Juris1num 29 Juris2num 
CandidateContest	Florida;General Assembly Senate District 30	State Senator Juris1num 30 Juris2num 
CandidateContest	Florida;General Assembly Senate District 31	State Senator Juris1num 31 Juris2num 
CandidateContest	Florida;General Assembly Senate District 32	State Senator Juris1num 32 Juris2num 
CandidateContest	Florida;General Assembly Senate District 33	State Senator Juris1num 33 Juris2num 
CandidateContest	Florida;General Assembly Senate District 34	State Senator Juris1num 34 Juris2num 
CandidateContest	Florida;General Assembly Senate District 35	State Senator Juris1num 35 Juris2num 
CandidateContest	Florida;General Assembly Senate District 36	State Senator Juris1num 36 Juris2num 
CandidateContest	Florida;General Assembly Senate District 37	State Senator Juris1num 37 Juris2num 
CandidateContest	Florida;General Assembly Senate District 38	State Senator Juris1num 38 Juris2num 
CandidateContest	Florida;General Assembly Senate District 39	State Senator Juris1num 39 Juris2num 
CandidateContest	Florida;General Assembly Senate District 40	State Senator Juris1num 40 Juris2num 
CandidateContest	Florida;General Assembly Senate District 41	State Senator Juris1num 41 Juris2num 
CandidateContest	Florida;General Assembly Senate District 42	State Senator Juris1num 42 Juris2num 
CandidateContest	Florida;General Assembly Senate District 43	State Senator Juris1num 43 Juris2num 
CandidateContest	Florida;General Assembly Senate District 44	State Senator Juris1num 44 Juris2num 
CandidateContest	Florida;General Assembly Senate District 45	State Senator Juris1num 45 Juris2num 
CandidateContest	Florida;General Assembly Senate District 46	State Senator Juris1num 46 Juris2num 
CandidateContest	Florida;General Assembly Senate District 47	State Senator Juris1num 47 Juris2num 
CandidateContest	Florida;General Assembly Senate District 48	State Senator Juris1num 48 Juris2num 
CandidateContest	Florida;General Assembly Senate District 49	State Senator Juris1num 49 Juris2num 
CandidateContest	Florida;General Assembly Senate District 50	State Senator Juris1num 50 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 1	United States Representative Juris1num 01 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 2	United States Representative Juris1num 02 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 3	United States Representative Juris1num 03 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 4	United States Representative Juris1num 04 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 5	United States Representative Juris1num 05 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 6	United States Representative Juris1num 06 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 7	United States Representative Juris1num 07 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 8	United States Representative Juris1num 08 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 9	United States Representative Juris1num 09 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 10	United States Representative Juris1num 10 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 11	United States Representative Juris1num 11 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 12	United States Representative Juris1num 12 Juris2num 
CandidateContest	Florida;US Congress House of Representatives District 13	United States Representative Juris1num 13 Juris2num 
ReportingUnit	Florida;Alachua County	Alachua
ReportingUnit	Florida;Baker County	Baker
ReportingUnit	Florida;Bay County	Bay
ReportingUnit	Florida;Bradford County	Bradford
ReportingUnit	Florida;Brevard County	Brevard
ReportingUnit	Florida;Broward County	Broward
ReportingUnit	Florida;Calhoun County	Calhoun
ReportingUnit	Florida;Charlotte County	Charlotte
ReportingUnit	Florida;Citrus County	Citrus
ReportingUnit	Florida;Clay County	Clay
ReportingUnit	Florida;Collier County	Collier
ReportingUnit	Florida;Columbia County	Columbia
ReportingUnit	Florida;Desoto County	Desoto
ReportingUnit	Florida;Dixie County	Dixie
ReportingUnit	Florida;Duval County	Duval
ReportingUnit	Florida;Escambia County	Escambia
ReportingUnit	Florida;Flagler County	Flagler
ReportingUnit	Florida;Franklin County	Franklin
ReportingUnit	Florida;Gadsden County	Gadsden
ReportingUnit	Florida;Gilchrist County	Gilchrist
ReportingUnit	Florida;Glades County	Glades
ReportingUnit	Florida;Gulf County	Gulf
ReportingUnit	Florida;Hamilton County	Hamilton
ReportingUnit	Florida;Hardee County	Hardee
ReportingUnit	Florida;Hendry County	Hendry
ReportingUnit	Florida;Hernando County	Hernando
ReportingUnit	Florida;Highlands County	Highlands
ReportingUnit	Florida;Hillsborough County	Hillsborough
ReportingUnit	Florida;Holmes County	Holmes
ReportingUnit	Florida;Indian River County	Indian River
ReportingUnit	Florida;Jackson County	Jackson
ReportingUnit	Florida;Jefferson County	Jefferson
ReportingUnit	Florida;Lafayette County	Lafayette
ReportingUnit	Florida;Lake County	Lake
ReportingUnit	Florida;Lee County	Lee
ReportingUnit	Florida;Leon County	Leon
ReportingUnit	Florida;Levy County	Levy
ReportingUnit	Florida;Liberty County	Liberty
ReportingUnit	Florida;Madison County	Madison
ReportingUnit	Florida;Manatee County	Manatee
ReportingUnit	Florida;Marion County	Marion
ReportingUnit	Florida;Martin County	Martin
ReportingUnit	Florida;Miami-Dade County	Miami-Dade
ReportingUnit	Florida;Monroe County	Monroe
ReportingUnit	Florida;Nassau County	Nassau
ReportingUnit	Florida;Okaloosa County	Okaloosa
ReportingUnit	Florida;Okeechobee County	Okeechobee
ReportingUnit	Florida;Orange County	Orange
ReportingUnit	Florida;Osceola County	Osceola
ReportingUnit	Florida;Palm Beach County	Palm Beach
ReportingUnit	Florida;Pasco County	Pasco
ReportingUnit	Florida;Pinellas County	Pinellas
ReportingUnit	Florida;Polk County	Polk
ReportingUnit	Florida;Putnam County	Putnam
ReportingUnit	Florida;Santa Rosa County	Santa Rosa
ReportingUnit	Florida;Sarasota County	Sarasota
ReportingUnit	Florida;Seminole County	Seminole
ReportingUnit	Florida;St. Johns County	St. Johns
ReportingUnit	Florida;St. Lucie County	St. Lucie
ReportingUnit	Florida;Sumter County	Sumter
ReportingUnit	Florida;Suwannee County	Suwannee
ReportingUnit	Florida;Taylor County	Taylor
ReportingUnit	Florida;Union County	Union
ReportingUnit	Florida;Volusia County	Volusia
ReportingUnit	Florida;Wakulla County	Wakulla
ReportingUnit	Florida;Walton County	Walton
ReportingUnit	Florida;Washington County	Washington
BallotMeasureSelection	Yes	Yes
BallotMeasureSelection	No	No
