Table	Name	ExternalIdentifierValue
Office	Florida;General Assembly House of Representatives District 75	State Representative Juris1num 075 Juris2num 
Office	Florida;General Assembly House of Representatives District 76	State Representative Juris1num 076 Juris2num 
Office	Florida;General Assembly House of Representatives District 77	State Representative Juris1num 077 Juris2num 
Office	Florida;General Assembly House of Representatives District 78	State Representative Juris1num 078 Juris2num 
Office	Florida;General Assembly House of Representatives District 79	State Representative Juris1num 079 Juris2num 
Office	Florida;General Assembly House of Representatives District 80	State Representative Juris1num 080 Juris2num 
Office	Florida;General Assembly House of Representatives District 81	State Representative Juris1num 081 Juris2num 
Office	Florida;General Assembly House of Representatives District 82	State Representative Juris1num 082 Juris2num 
Office	Florida;General Assembly House of Representatives District 83	State Representative Juris1num 083 Juris2num 
Office	Florida;General Assembly House of Representatives District 84	State Representative Juris1num 084 Juris2num 
Office	Florida;General Assembly House of Representatives District 85	State Representative Juris1num 085 Juris2num 
Office	Florida;General Assembly House of Representatives District 86	State Representative Juris1num 086 Juris2num 
Office	Florida;General Assembly House of Representatives District 87	State Representative Juris1num 087 Juris2num 
Office	Florida;General Assembly House of Representatives District 88	State Representative Juris1num 088 Juris2num 
Office	Florida;General Assembly House of Representatives District 89	State Representative Juris1num 089 Juris2num 
Office	Florida;General Assembly House of Representatives District 90	State Representative Juris1num 090 Juris2num 
Office	Florida;General Assembly House of Representatives District 91	State Representative Juris1num 091 Juris2num 
Office	Florida;General Assembly House of Representatives District 92	State Representative Juris1num 092 Juris2num 
Office	Florida;General Assembly House of Representatives District 93	State Representative Juris1num 093 Juris2num 
Office	Florida;General Assembly House of Representatives District 94	State Representative Juris1num 094 Juris2num 
Office	Florida;General Assembly House of Representatives District 95	State Representative Juris1num 095 Juris2num 
Office	Florida;General Assembly House of Representatives District 96	State Representative Juris1num 096 Juris2num 
Office	Florida;General Assembly House of Representatives District 97	State Representative Juris1num 097 Juris2num 
Office	Florida;General Assembly House of Representatives District 98	State Representative Juris1num 098 Juris2num 
Office	Florida;General Assembly House of Representatives District 99	State Representative Juris1num 099 Juris2num 
Office	Florida;General Assembly House of Representatives District 100	State Representative Juris1num 100 Juris2num 
Office	Florida;General Assembly House of Representatives District 101	State Representative Juris1num 101 Juris2num 
Office	Florida;General Assembly House of Representatives District 102	State Representative Juris1num 102 Juris2num 
Office	Florida;General Assembly House of Representatives District 103	State Representative Juris1num 103 Juris2num 
Office	Florida;General Assembly House of Representatives District 104	State Representative Juris1num 104 Juris2num 
Office	Florida;General Assembly House of Representatives District 105	State Representative Juris1num 105 Juris2num 
Office	Florida;General Assembly House of Representatives District 106	State Representative Juris1num 106 Juris2num 
Office	Florida;General Assembly House of Representatives District 107	State Representative Juris1num 107 Juris2num 
Office	Florida;General Assembly House of Representatives District 108	State Representative Juris1num 108 Juris2num 
Office	Florida;General Assembly House of Representatives District 109	State Representative Juris1num 109 Juris2num 
Office	Florida;General Assembly House of Representatives District 110	State Representative Juris1num 110 Juris2num 
Office	Florida;General Assembly House of Representatives District 111	State Representative Juris1num 111 Juris2num 
Office	Florida;General Assembly House of Representatives District 112	State Representative Juris1num 112 Juris2num 
Office	Florida;General Assembly House of Representatives District 113	State Representative Juris1num 113 Juris2num 
Office	Florida;General Assembly House of Representatives District 114	State Representative Juris1num 114 Juris2num 
Office	Florida;General Assembly House of Representatives District 115	State Representative Juris1num 115 Juris2num 
Office	Florida;General Assembly House of Representatives District 116	State Representative Juris1num 116 Juris2num 
Office	Florida;General Assembly House of Representatives District 117	State Representative Juris1num 117 Juris2num 
Office	Florida;General Assembly House of Representatives District 118	State Representative Juris1num 118 Juris2num 
Office	Florida;General Assembly House of Representatives District 119	State Representative Juris1num 119 Juris2num 
Office	Florida;General Assembly House of Representatives District 120	State Representative Juris1num 120 Juris2num 
Office	Florida;General Assembly Senate District 1	State Senator Juris1num 01 Juris2num 
Office	Florida;General Assembly Senate District 2	State Senator Juris1num 02 Juris2num 
Office	Florida;General Assembly Senate District 3	State Senator Juris1num 03 Juris2num 
Office	Florida;General Assembly Senate District 4	State Senator Juris1num 04 Juris2num 
Office	Florida;General Assembly Senate District 5	State Senator Juris1num 05 Juris2num 
Office	Florida;General Assembly Senate District 6	State Senator Juris1num 06 Juris2num 
Office	Florida;General Assembly Senate District 7	State Senator Juris1num 07 Juris2num 
Office	Florida;General Assembly Senate District 8	State Senator Juris1num 08 Juris2num 
Office	Florida;General Assembly Senate District 9	State Senator Juris1num 09 Juris2num 
Office	Florida;General Assembly Senate District 10	State Senator Juris1num 10 Juris2num 
Office	Florida;General Assembly Senate District 11	State Senator Juris1num 11 Juris2num 
Office	Florida;General Assembly Senate District 12	State Senator Juris1num 12 Juris2num 
Office	Florida;General Assembly Senate District 13	State Senator Juris1num 13 Juris2num 
Office	Florida;General Assembly Senate District 14	State Senator Juris1num 14 Juris2num 
Office	Florida;General Assembly Senate District 15	State Senator Juris1num 15 Juris2num 
Office	Florida;General Assembly Senate District 16	State Senator Juris1num 16 Juris2num 
Office	Florida;General Assembly Senate District 17	State Senator Juris1num 17 Juris2num 
Office	Florida;General Assembly Senate District 18	State Senator Juris1num 18 Juris2num 
Office	Florida;General Assembly Senate District 19	State Senator Juris1num 19 Juris2num 
Office	Florida;General Assembly Senate District 20	State Senator Juris1num 20 Juris2num 
Office	Florida;General Assembly Senate District 21	State Senator Juris1num 21 Juris2num 
