cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Amanda J. LaBrecque	Amanda J. LaBrecque
Candidate	Amanda J. Pacitto	Amanda J. Pacitto
Candidate	Amanda Joann Bell	Amanda Joann Bell
Candidate	Amanda L. (Amy) Wilson	Amanda L. (Amy) Wilson
Candidate	Amanda Maris	Amanda Maris
Candidate	Amanda Stevenson	Amanda Stevenson
Candidate	Amanda Taylor Edwards	Amanda Taylor Edwards
Candidate	Amber Davis Malarney	Amber Davis Malarney
Candidate	Amber M. Baker	Amber M. Baker
Candidate	Amelie F. Schoel	Amelie F. Schoel
Candidate	Amos McClorey	Amos McClorey
Candidate	Amos Quick	Amos Quick
Candidate	Amy Bottomley	Amy Bottomley
Candidate	Amy Bynum	Amy Bynum
Candidate	Amy Churchill	Amy Churchill
Candidate	Amy Cole	Amy Cole
Candidate	Amy Evans	Amy Evans
Candidate	Amy Fowler	Amy Fowler
Candidate	Amy Fowler (Write-In)	Amy Fowler (Write-In)
Candidate	Amy Holt (Write-In)	Amy Holt (Write-In)
Candidate	Amy Jones Shook	Amy Jones Shook
Candidate	Amy Klobuchar	Amy Klobuchar
Candidate	Amy Lee Simpson	Amy Lee Simpson
Candidate	Amy Lynn Holt	Amy Lynn Holt
Candidate	Amy M. Dalrymple	Amy M. Dalrymple
Candidate	Amy Moomaw	Amy Moomaw
Candidate	Amy S. Galey	Amy S. Galey
Candidate	Amy Scott Galey	Amy Scott Galey
Candidate	Amy Sigmon Walker	Amy Sigmon Walker
Candidate	Amy Smith Wamsley	Amy Smith Wamsley
Candidate	Andre Davis (Write-In)	Andre Davis (Write-In)
Candidate	Andre Knecht	Andre Knecht
Candidate	Andre M. Lassiter	Andre M. Lassiter
Candidate	Andrea F. Dray	Andrea F. Dray
Candidate	Andrea Pace Bramer	Andrea Pace Bramer
Candidate	Andrea Palo (Write-In)	Andrea Palo (Write-In)
Candidate	Andrea Phillips Beasley	Andrea Phillips Beasley
Candidate	Andrew (Andy) Terrell	Andrew (Andy) Terrell
Candidate	Andrew Armbruster (Write-In)	Andrew Armbruster (Write-In)
Candidate	Andrew Barclift (Write-In)	Andrew Barclift (Write-In)
Candidate	Andrew Barnhill	Andrew Barnhill
Candidate	Andrew C. Brock	Andrew C. Brock
Candidate	Andrew Carlton	Andrew Carlton
Candidate	Andrew Dellinger	Andrew Dellinger
Candidate	Andrew Gregson	Andrew Gregson
Candidate	Andrew J. (Andy) Courts, Jr.	Andrew J. (Andy) Courts, Jr.
Candidate	Andrew M. Allison	Andrew M. Allison
Candidate	Andrew Poston	Andrew Poston
Candidate	Andrew Price (Write-In)	Andrew Price (Write-In)
Candidate	Andrew T. Heath	Andrew T. Heath
Candidate	Andrew W. Davis	Andrew W. Davis
Candidate	Andrew Wigmore	Andrew Wigmore
Candidate	Andrew Yang	Andrew Yang
Candidate	Andy Dulin	Andy Dulin
Candidate	Andy Green	Andy Green
Candidate	Andy Grooms	Andy Grooms
Candidate	Andy Hanford	Andy Hanford
Candidate	Andy Hedrick	Andy Hedrick
Candidate	Andy Millard	Andy Millard
Candidate	Andy Nickelston	Andy Nickelston
Candidate	Andy Wells	Andy Wells
Candidate	Angel King	Angel King
Candidate	Angela Ashley Kidd	Angela Ashley Kidd
Candidate	Angela B. Puckett	Angela B. Puckett
Candidate	Angela Bailey Burleson	Angela Bailey Burleson
Candidate	Angela C. Foster	Angela C. Foster
Candidate	Angela Elkins	Angela Elkins
Candidate	Angela F. Bridgman	Angela F. Bridgman
Candidate	Angela G. Hoyle	Angela G. Hoyle
Candidate	Angela Greene Gragg	Angela Greene Gragg
Candidate	Angela Headen Davis	Angela Headen Davis
Candidate	Angela J. Carter	Angela J. Carter
Candidate	Angela R. Bryant	Angela R. Bryant
Candidate	Angela Todd	Angela Todd
Candidate	Angela Wilson	Angela Wilson
Candidate	Angela Woods	Angela Woods
Candidate	Angelica Chavis McIntyre	Angelica Chavis McIntyre
Candidate	Angelo Kidd	Angelo Kidd
Candidate	Angie Etheridge Sexton	Angie Etheridge Sexton
Candidate	Angie Fox	Angie Fox
Candidate	Angie Shook	Angie Shook
Candidate	Anita C. Darnell	Anita C. Darnell
Candidate	Anita Earls	Anita Earls
Candidate	Anita McCall	Anita McCall
Candidate	Anita Parker	Anita Parker
Candidate	Anita R. Powers	Anita R. Powers
Candidate	Anita Sharpe	Anita Sharpe
Candidate	Ann B. Edwards	Ann B. Edwards
Candidate	Ann B. Franklin	Ann B. Franklin
Candidate	Ann Barrett	Ann Barrett
Candidate	Ann Brady	Ann Brady
Candidate	Ann Coleman	Ann Coleman
Candidate	Ann D. Melton	Ann D. Melton
Candidate	Ann Daisey (Write-In)	Ann Daisey (Write-In)
Candidate	Ann Floyd Huggins	Ann Floyd Huggins
Candidate	Ann Gaddis (Write-In)	Ann Gaddis (Write-In)
Candidate	Ann H. Herring	Ann H. Herring
Candidate	Ann Long	Ann Long
Candidate	Ann Mailly (Write-In)	Ann Mailly (Write-In)
Candidate	Ann P. Edge	Ann P. Edge
Candidate	Anna Barrett Smith	Anna Barrett Smith
Candidate	Anna Elena Worley	Anna Elena Worley
Candidate	Anna Gerringer Amoriello	Anna Gerringer Amoriello
Candidate	Anna Hall Richardson	Anna Hall Richardson
Candidate	Anna L. Kegley	Anna L. Kegley
Candidate	Anna M. Goodwin	Anna M. Goodwin
Candidate	Anna Mills Wagoner	Anna Mills Wagoner
Candidate	Anna Powell	Anna Powell
Candidate	Anna Richardson (Write-In)	Anna Richardson (Write-In)
