	Name	ReportingUnitType
1107	North Carolina;Davie County;04	precinct
1108	North Carolina;Davie County;01	precinct
1109	North Carolina;Clay County;WARN	precinct
1110	North Carolina;Clay County;SWEE	precinct
1111	North Carolina;Clay County;HAYC	precinct
1112	North Carolina;Clay County;HAY2	precinct
1113	North Carolina;Clay County;TUSQ	precinct
1114	North Carolina;Clay County;BRAS	precinct
1115	North Carolina;Clay County;SHCR	precinct
1116	North Carolina;Clay County;HAY1	precinct
1117	North Carolina;Clay County;HIAW	precinct
1118	North Carolina;Dare County;AVON	precinct
1119	North Carolina;Dare County;ABSENTEE	absentee
1120	North Carolina;Dare County;HAT	precinct
1121	North Carolina;Dare County;STPT	precinct
1122	North Carolina;Dare County;MH	precinct
1123	North Carolina;Dare County;BUX	precinct
1124	North Carolina;Dare County;CURBSIDE	curbside
1125	North Carolina;Dare County;SOSH	precinct
1126	North Carolina;Dare County;WAN	precinct
1127	North Carolina;Dare County;EL	precinct
1128	North Carolina;Dare County;COL	precinct
1129	North Carolina;Dare County;KDH	precinct
1130	North Carolina;Dare County;FRCO	precinct
1131	North Carolina;Dare County;MATO	precinct
1132	North Carolina;Dare County;NGHD	precinct
1133	North Carolina;Dare County;CHCA	precinct
1134	North Carolina;Dare County;PROVISIONAL	provisional
1135	North Carolina;Dare County;DUCK	precinct
1136	North Carolina;Dare County;KTHK	precinct
1137	North Carolina;Chowan County;4	precinct
1138	North Carolina;Chowan County;1	precinct
1139	North Carolina;Chowan County;5	precinct
1140	North Carolina;Chowan County;2	precinct
1141	North Carolina;Chowan County;6	precinct
1142	North Carolina;Chowan County;PROVISIONAL	provisional
1143	North Carolina;Chowan County;TRANSFER	transfer
1144	North Carolina;Chowan County;3	precinct
1145	North Carolina;Chowan County;OS BOE	board-of-elections
1146	North Carolina;Chowan County;OS NCC	vote-center
1147	North Carolina;Chowan County;ABSENTEE	absentee
1148	North Carolina;Currituck County;KI	precinct
1149	North Carolina;Currituck County;IR	precinct
1150	North Carolina;Currituck County;ABSENTEE	absentee
1151	North Carolina;Currituck County;CB	precinct
1152	North Carolina;Currituck County;CI	precinct
1153	North Carolina;Currituck County;ONE STOP	vote-center
1154	North Carolina;Currituck County;MY	precinct
1155	North Carolina;Currituck County;CJ	precinct
1156	North Carolina;Currituck County;PB	precinct
1157	North Carolina;Currituck County;GW	precinct
1158	North Carolina;Currituck County;CH	precinct
1159	North Carolina;Currituck County;PP	precinct
1160	North Carolina;Currituck County;PROVISIONAL	provisional
1161	North Carolina;Currituck County;WH	precinct
1162	North Carolina;Durham County;08	precinct
1163	North Carolina;Durham County;29	precinct
1164	North Carolina;Durham County;42	precinct
1165	North Carolina;Durham County;48	precinct
1166	North Carolina;Durham County;53-1	precinct
1167	North Carolina;Durham County;53-2	precinct
1168	North Carolina;Durham County;OS-ERL	precinct
1169	North Carolina;Durham County;OS-FRONT	precinct
1170	North Carolina;Durham County;OS-DUKE	precinct
1171	North Carolina;Durham County;02	precinct
1172	North Carolina;Durham County;05	precinct
1173	North Carolina;Durham County;22	precinct
1174	North Carolina;Durham County;44	precinct
1175	North Carolina;Durham County;OS-DTC	precinct
1176	North Carolina;Durham County;13	precinct
1177	North Carolina;Durham County;18	precinct
1178	North Carolina;Durham County;31	precinct
1179	North Carolina;Durham County;35.3	precinct
1180	North Carolina;Durham County;50	precinct
1181	North Carolina;Durham County;21	precinct
1182	North Carolina;Durham County;37	precinct
1183	North Carolina;Durham County;30-2	precinct
1184	North Carolina;Durham County;33	precinct
1185	North Carolina;Durham County;ABSENTEE	absentee
1186	North Carolina;Durham County;OS-BOE	board-of-elections
1187	North Carolina;Durham County;10	precinct
1188	North Carolina;Durham County;55-11	precinct
1189	North Carolina;Durham County;34-1	precinct
1190	North Carolina;Durham County;34-2	precinct
1191	North Carolina;Durham County;OS-NRL	precinct
1192	North Carolina;Durham County;03	precinct
1193	North Carolina;Durham County;06	precinct
1194	North Carolina;Durham County;09	precinct
1195	North Carolina;Durham County;23	precinct
1196	North Carolina;Durham County;24	precinct
1197	North Carolina;Durham County;26	precinct
1198	North Carolina;Durham County;40	precinct
1199	North Carolina;Durham County;45	precinct
1200	North Carolina;Durham County;OS-NJBC	precinct
1201	North Carolina;Durham County;43	precinct
1202	North Carolina;Durham County;55-49	precinct
1203	North Carolina;Durham County;OS-ENO	precinct
1204	North Carolina;Durham County;TRANSFER	transfer
1205	North Carolina;Durham County;01	precinct
1206	North Carolina;Durham County;20	precinct
1207	North Carolina;Durham County;38	precinct
1208	North Carolina;Durham County;39	precinct
1209	North Carolina;Durham County;14	precinct
1210	North Carolina;Durham County;16	precinct
1211	North Carolina;Durham County;19	precinct
1212	North Carolina;Durham County;30-1	precinct
1213	North Carolina;Durham County;32	precinct
1214	North Carolina;Durham County;51	precinct
1215	North Carolina;Durham County;54	precinct
1216	North Carolina;Durham County;OS-IVY	precinct
1217	North Carolina;Durham County;OS-NCCU	precinct
1218	North Carolina;Durham County;04	precinct
1219	North Carolina;Durham County;07	precinct
1220	North Carolina;Durham County;25	precinct
1221	North Carolina;Durham County;28	precinct
1222	North Carolina;Durham County;27	precinct
1223	North Carolina;Durham County;41	precinct
1224	North Carolina;Durham County;47	precinct
1225	North Carolina;Durham County;46	precinct
1226	North Carolina;Durham County;OS-DTCN	precinct
1227	North Carolina;Durham County;17	precinct
1228	North Carolina;Durham County;OS-GETG	precinct
1229	North Carolina;Durham County;OS-SRL	precinct
1230	North Carolina;Durham County;12	precinct
1231	North Carolina;Durham County;15	precinct
1232	North Carolina;Durham County;36	precinct
1233	North Carolina;Durham County;52	precinct
1234	North Carolina;Durham County;PROVISIONAL	provisional
1235	North Carolina;Edgecombe County;1401	precinct
1236	North Carolina;Edgecombe County;0301	precinct
1237	North Carolina;Edgecombe County;1201	precinct
1238	North Carolina;Edgecombe County;ONE STOP 1	vote-center
1239	North Carolina;Edgecombe County;0104	precinct
1240	North Carolina;Edgecombe County;1101	precinct
1241	North Carolina;Edgecombe County;1204	precinct
1242	North Carolina;Edgecombe County;0601	precinct
1243	North Carolina;Edgecombe County;ONE STOP 2	vote-center
1244	North Carolina;Edgecombe County;ONE STOP 5	vote-center
1245	North Carolina;Edgecombe County;CURBSIDE	curbside
1246	North Carolina;Edgecombe County;0501	precinct
1247	North Carolina;Edgecombe County;0701	precinct
1248	North Carolina;Edgecombe County;0801	precinct
1249	North Carolina;Edgecombe County;0102	precinct
1250	North Carolina;Edgecombe County;0103	precinct
1251	North Carolina;Edgecombe County;0401	precinct
1252	North Carolina;Edgecombe County;ABSENTEE	absentee
1253	North Carolina;Edgecombe County;ONE STOP 4	vote-center
1254	North Carolina;Edgecombe County;1205	precinct
1255	North Carolina;Edgecombe County;1203	precinct
1256	North Carolina;Edgecombe County;1202	precinct
1257	North Carolina;Edgecombe County;0901	precinct
1258	North Carolina;Edgecombe County;0101	precinct
1259	North Carolina;Edgecombe County;PROVISIONAL	provisional
1260	North Carolina;Edgecombe County;ONE STOP 6	vote-center
1261	North Carolina;Edgecombe County;ONE STOP 3	vote-center
1262	North Carolina;Edgecombe County;TRANSFER	transfer
1263	North Carolina;Edgecombe County;1301	precinct
1264	North Carolina;Edgecombe County;0201	precinct
1265	North Carolina;Edgecombe County;1001	precinct
1266	North Carolina;Forsyth County;071	precinct
1267	North Carolina;Forsyth County;207	precinct
1268	North Carolina;Forsyth County;403	precinct
1269	North Carolina;Forsyth County;708	precinct
1270	North Carolina;Forsyth County;133	precinct
1271	North Carolina;Forsyth County;909	precinct
1272	North Carolina;Forsyth County;012	precinct
1273	North Carolina;Forsyth County;015	precinct
1274	North Carolina;Forsyth County;031	precinct
1275	North Carolina;Forsyth County;063	precinct
1276	North Carolina;Forsyth County;065	precinct
1277	North Carolina;Forsyth County;068	precinct
1278	North Carolina;Forsyth County;091	precinct
1279	North Carolina;Forsyth County;101	precinct
1280	North Carolina;Forsyth County;122	precinct
1281	North Carolina;Forsyth County;305	precinct
1282	North Carolina;Forsyth County;502	precinct
1283	North Carolina;Forsyth County;503	precinct
1284	North Carolina;Forsyth County;901	precinct
1285	North Carolina;Forsyth County;906	precinct
1286	North Carolina;Forsyth County;033	precinct
1287	North Carolina;Forsyth County;034	precinct
1288	North Carolina;Forsyth County;053	precinct
1289	North Carolina;Forsyth County;204	precinct
1290	North Carolina;Forsyth County;706	precinct
1291	North Carolina;Forsyth County;705	precinct
1292	North Carolina;Forsyth County;ABS/PROV/CURB 2	precinct
1293	North Carolina;Forsyth County;021	precinct
1294	North Carolina;Forsyth County;111	precinct
1295	North Carolina;Forsyth County;304	precinct
1296	North Carolina;Forsyth County;607	precinct
1297	North Carolina;Forsyth County;ABS/PROV/CURB 4	precinct
1298	North Carolina;Forsyth County;606	precinct
1299	North Carolina;Forsyth County;709	precinct
1300	North Carolina;Forsyth County;032	precinct
1301	North Carolina;Forsyth County;052	precinct
1302	North Carolina;Forsyth County;055	precinct
1303	North Carolina;Forsyth County;205	precinct
1304	North Carolina;Forsyth County;603	precinct
1305	North Carolina;Forsyth County;043	precinct
1306	North Carolina;Forsyth County;074	precinct
1307	North Carolina;Forsyth County;505	precinct
1308	North Carolina;Forsyth County;801	precinct
1309	North Carolina;Forsyth County;903	precinct
1310	North Carolina;Forsyth County;013	precinct
1311	North Carolina;Forsyth County;804	precinct
1312	North Carolina;Forsyth County;807	precinct
1313	North Carolina;Forsyth County;905	precinct
1314	North Carolina;Forsyth County;ABS/PROV/CURB 1	precinct
1315	North Carolina;Forsyth County;504	precinct
1316	North Carolina;Forsyth County;042	precinct
1317	North Carolina;Forsyth County;401	precinct
1318	North Carolina;Forsyth County;704	precinct
1319	North Carolina;Forsyth County;803	precinct
1320	North Carolina;Forsyth County;806	precinct
1321	North Carolina;Forsyth County;011	precinct
1322	North Carolina;Forsyth County;014	precinct
1323	North Carolina;Forsyth County;051	precinct
1324	North Carolina;Forsyth County;067	precinct
1325	North Carolina;Forsyth County;092	precinct
1326	North Carolina;Forsyth County;501	precinct
1327	North Carolina;Forsyth County;506	precinct
1328	North Carolina;Forsyth County;809	precinct
1329	North Carolina;Forsyth County;902	precinct
1330	North Carolina;Forsyth County;907	precinct
1331	North Carolina;Forsyth County;054	precinct
1332	North Carolina;Forsyth County;062	precinct
1333	North Carolina;Forsyth County;082	precinct
1334	North Carolina;Forsyth County;083	precinct
1335	North Carolina;Forsyth County;605	precinct
1336	North Carolina;Forsyth County;132	precinct
1337	North Carolina;Forsyth County;301	precinct
1338	North Carolina;Forsyth County;303	precinct
1339	North Carolina;Forsyth County;306	precinct
1340	North Carolina;Forsyth County;602	precinct
1341	North Carolina;Forsyth County;703	precinct
1342	North Carolina;Forsyth County;073	precinct
1343	North Carolina;Forsyth County;131	precinct
1344	North Carolina;Forsyth County;402	precinct
1345	North Carolina;Forsyth County;404	precinct
1346	North Carolina;Forsyth County;405	precinct
1347	North Carolina;Forsyth County;507	precinct
1348	North Carolina;Forsyth County;601	precinct
1349	North Carolina;Forsyth County;604	precinct
1350	North Carolina;Forsyth County;802	precinct
1351	North Carolina;Forsyth County;072	precinct
1352	North Carolina;Forsyth County;075	precinct
1353	North Carolina;Forsyth County;112	precinct
1354	North Carolina;Forsyth County;908	precinct
1355	North Carolina;Forsyth County;061	precinct
1356	North Carolina;Forsyth County;064	precinct
1357	North Carolina;Forsyth County;066	precinct
1358	North Carolina;Forsyth County;081	precinct
1359	North Carolina;Forsyth County;201	precinct
1360	North Carolina;Forsyth County;203	precinct
1361	North Carolina;Forsyth County;206	precinct
1362	North Carolina;Forsyth County;ABS/PROV/CURB 3	precinct
1363	North Carolina;Forsyth County;123	precinct
1364	North Carolina;Forsyth County;302	precinct
1365	North Carolina;Forsyth County;701	precinct
1366	North Carolina;Forsyth County;702	precinct
1367	North Carolina;Forsyth County;707	precinct
1368	North Carolina;Forsyth County;805	precinct
1369	North Carolina;Forsyth County;808	precinct
1370	North Carolina;Forsyth County;904	precinct
1371	North Carolina;Gaston County;11	precinct
1372	North Carolina;Gaston County;01	precinct
1373	North Carolina;Gaston County;PROVISIONAL	provisional
1374	North Carolina;Gaston County;OS-DALLAS	precinct
1375	North Carolina;Gaston County;16	precinct
1376	North Carolina;Gaston County;19	precinct
1377	North Carolina;Gaston County;20	precinct
1378	North Carolina;Gaston County;32	precinct
1379	North Carolina;Gaston County;39	precinct
1380	North Carolina;Gaston County;38	precinct
1381	North Carolina;Gaston County;07	precinct
1382	North Carolina;Gaston County;04	precinct
1383	North Carolina;Gaston County;25	precinct
1384	North Carolina;Gaston County;28	precinct
1385	North Carolina;Gaston County;41	precinct
1386	North Carolina;Gaston County;43	precinct
1387	North Carolina;Gaston County;46	precinct
1388	North Carolina;Gaston County;TRANSFER	transfer
1389	North Carolina;Gaston County;27	precinct
1390	North Carolina;Gaston County;OS-CHERRYVILLE	precinct
1391	North Carolina;Gaston County;15	precinct
1392	North Carolina;Gaston County;17	precinct
1393	North Carolina;Gaston County;12	precinct
1394	North Carolina;Gaston County;36	precinct
1395	North Carolina;Gaston County;10	precinct
1396	North Carolina;Gaston County;OS-BOE	board-of-elections
1397	North Carolina;Gaston County;ABSENTEE	absentee
1398	North Carolina;Gaston County;06	precinct
1399	North Carolina;Gaston County;09	precinct
1400	North Carolina;Gaston County;40	precinct
1401	North Carolina;Gaston County;23	precinct
1402	North Carolina;Gaston County;26	precinct
1403	North Carolina;Gaston County;OS-LIBRARY	precinct
1404	North Carolina;Gaston County;03	precinct
1405	North Carolina;Gaston County;24	precinct
1406	North Carolina;Gaston County;45	precinct
1407	North Carolina;Gaston County;18	precinct
1408	North Carolina;Gaston County;13	precinct
1409	North Carolina;Gaston County;30	precinct
1410	North Carolina;Gaston County;33	precinct
1411	North Carolina;Gaston County;31	precinct
1412	North Carolina;Gaston County;21	precinct
1413	North Carolina;Gaston County;37	precinct
1414	North Carolina;Gaston County;02	precinct
1415	North Carolina;Gaston County;05	precinct
1416	North Carolina;Gaston County;08	precinct
1417	North Carolina;Gaston County;44	precinct
1418	North Carolina;Gaston County;42	precinct
1419	North Carolina;Gaston County;22	precinct
1420	North Carolina;Gaston County;29	precinct
1421	North Carolina;Gaston County;OS-MOUNT HOLLY	precinct
1422	North Carolina;Gaston County;OS-FBC GASTONIA	precinct
1423	North Carolina;Gaston County;35	precinct
1424	North Carolina;Gaston County;34	precinct
1425	North Carolina;Gaston County;14	precinct
1426	North Carolina;Granville County;EAOX	precinct
1427	North Carolina;Granville County;WILT	precinct
1428	North Carolina;Granville County;MTEN	precinct
1429	North Carolina;Granville County;BTNR	precinct
1430	North Carolina;Granville County;CRDL	precinct
1431	North Carolina;Granville County;BERE	precinct
1432	North Carolina;Granville County;SALM	precinct
1433	North Carolina;Granville County;CORI	precinct
1434	North Carolina;Granville County;WOEL	precinct
1435	North Carolina;Granville County;OKHL	precinct
1436	North Carolina;Granville County;SOOX	precinct
1437	North Carolina;Granville County;SASS	precinct
1438	North Carolina;Granville County;TYHO	precinct
1439	North Carolina;Granville County;CRDM	precinct
1440	North Carolina;Granville County;ANTI	precinct
1441	North Carolina;Greene County;BULL	precinct
1442	North Carolina;Greene County;WALS	precinct
1443	North Carolina;Greene County;ABSENTEE	absentee
1444	North Carolina;Guilford County;SCLAY	precinct
1445	North Carolina;Guilford County;PG1	precinct
1446	North Carolina;Guilford County;H22	precinct
1447	North Carolina;Guilford County;H25	precinct
1448	North Carolina;Guilford County;H29B	precinct
1449	North Carolina;Guilford County;H28	precinct
1450	North Carolina;Guilford County;FR1	precinct
1451	North Carolina;Guilford County;G06	precinct
1452	North Carolina;Guilford County;G24	precinct
1453	North Carolina;Guilford County;FR5A	precinct
1454	North Carolina;Guilford County;FR5B	precinct
1455	North Carolina;Guilford County;G13	precinct
1456	North Carolina;Guilford County;NCLAY1	precinct
1457	North Carolina;Guilford County;H20A	precinct
1458	North Carolina;Guilford County;G72	precinct
1459	North Carolina;Guilford County;G21	precinct
1460	North Carolina;Guilford County;G26	precinct
1461	North Carolina;Guilford County;G54	precinct
1462	North Carolina;Guilford County;G71	precinct
1463	North Carolina;Guilford County;G47	precinct
1464	North Carolina;Guilford County;G46	precinct
1465	North Carolina;Guilford County;G51	precinct
1466	North Carolina;Guilford County;G41A	precinct
1467	North Carolina;Guilford County;SWASH	precinct
1468	North Carolina;Guilford County;SUM2	precinct
1469	North Carolina;Guilford County;SF2	precinct
1470	North Carolina;Guilford County;G57	precinct
1471	North Carolina;Guilford County;NWASH	precinct
1472	North Carolina;Guilford County;H10	precinct
1473	North Carolina;Guilford County;H17	precinct
1474	North Carolina;Guilford County;G11	precinct
1475	North Carolina;Guilford County;FR2	precinct
1476	North Carolina;Guilford County;G34	precinct
1477	North Carolina;Guilford County;G40A1	precinct
1478	North Carolina;Guilford County;G36	precinct
1479	North Carolina;Guilford County;G37	precinct
1480	North Carolina;Guilford County;G61	precinct
1481	North Carolina;Guilford County;G64	precinct
1482	North Carolina;Guilford County;G42A	precinct
1483	North Carolina;Guilford County;MON1	precinct
1484	North Carolina;Guilford County;OR2	precinct
1485	North Carolina;Guilford County;H09	precinct
1486	North Carolina;Guilford County;G58	precinct
1487	North Carolina;Guilford County;H11	precinct
1488	North Carolina;Guilford County;H14	precinct
1489	North Carolina;Guilford County;RC1	precinct
1490	North Carolina;Guilford County;G18	precinct
1491	North Carolina;Guilford County;FR3	precinct
1492	North Carolina;Guilford County;H19A	precinct
1493	North Carolina;Guilford County;G52	precinct
1494	North Carolina;Guilford County;G55	precinct
1495	North Carolina;Guilford County;JAM5	precinct
1496	North Carolina;Guilford County;JEF2	precinct
1497	North Carolina;Guilford County;H18	precinct
1498	North Carolina;Guilford County;SUM4	precinct
1499	North Carolina;Guilford County;SUM3	precinct
1500	North Carolina;Guilford County;NCGR2	precinct
1501	North Carolina;Guilford County;ABS/PROV/CURB 2	precinct
1502	North Carolina;Guilford County;CG1	precinct
1503	North Carolina;Guilford County;G25	precinct
1504	North Carolina;Guilford County;G14	precinct
1505	North Carolina;Guilford County;G67	precinct
1506	North Carolina;Guilford County;H23	precinct
1507	North Carolina;Guilford County;NDRI	precinct
1508	North Carolina;Guilford County;H26	precinct
1509	North Carolina;Guilford County;H29A	precinct
1510	North Carolina;Guilford County;G28	precinct
1511	North Carolina;Guilford County;G44	precinct
1512	North Carolina;Guilford County;G45	precinct
1513	North Carolina;Guilford County;G09	precinct
1514	North Carolina;Guilford County;G23	precinct
1515	North Carolina;Guilford County;FEN2	precinct
1516	North Carolina;Guilford County;G01	precinct
1517	North Carolina;Guilford County;ABS/PROV/CURB 3	precinct
1518	North Carolina;Guilford County;CG2	precinct
1519	North Carolina;Guilford County;G07	precinct
1520	North Carolina;Guilford County;G08	precinct
1521	North Carolina;Guilford County;G20	precinct
1522	North Carolina;Guilford County;JAM3	precinct
1523	North Carolina;Guilford County;JAM4	precinct
1524	North Carolina;Guilford County;JEF3	precinct
1525	North Carolina;Guilford County;G73	precinct
1526	North Carolina;Guilford County;G48	precinct
1527	North Carolina;Guilford County;G49	precinct
1528	North Carolina;Guilford County;G50	precinct
1529	North Carolina;Guilford County;H27-A	precinct
1530	North Carolina;Guilford County;H27-B	precinct
1531	North Carolina;Guilford County;JEF4	precinct
1532	North Carolina;Guilford County;SUM1	precinct
1533	North Carolina;Guilford County;G22	precinct
1534	North Carolina;Guilford County;G43	precinct
1535	North Carolina;Guilford County;G27	precinct
1536	North Carolina;Guilford County;H01	precinct
1537	North Carolina;Guilford County;H02	precinct
1538	North Carolina;Guilford County;MON2A	precinct
1539	North Carolina;Guilford County;SMAD	precinct
1540	North Carolina;Guilford County;RC2	precinct
1541	North Carolina;Guilford County;G03	precinct
1542	North Carolina;Guilford County;G04	precinct
1543	North Carolina;Guilford County;G17	precinct
1544	North Carolina;Guilford County;G30	precinct
1545	North Carolina;Guilford County;G32	precinct
1546	North Carolina;Guilford County;G33	precinct
1547	North Carolina;Guilford County;G40A2	precinct
1548	North Carolina;Guilford County;G35	precinct
1549	North Carolina;Guilford County;H06	precinct
1550	North Carolina;Guilford County;H13	precinct
1551	North Carolina;Guilford County;G74	precinct
1552	North Carolina;Guilford County;STOK	precinct
1553	North Carolina;Guilford County;SF4	precinct
1554	North Carolina;Guilford County;SF3	precinct
1555	North Carolina;Guilford County;NMAD	precinct
1556	North Carolina;Guilford County;FEN1	precinct
1557	North Carolina;Guilford County;G16	precinct
1558	North Carolina;Guilford County;ABS/CURB/PROV 4	precinct
1559	North Carolina;Guilford County;G19	precinct
1560	North Carolina;Guilford County;G31	precinct
1561	North Carolina;Guilford County;H20B	precinct
1562	North Carolina;Guilford County;G70	precinct
1563	North Carolina;Guilford County;G75	precinct
1564	North Carolina;Guilford County;GIB	precinct
1565	North Carolina;Guilford County;H15	precinct
1566	North Carolina;Guilford County;H12	precinct
1567	North Carolina;Guilford County;H08	precinct
1568	North Carolina;Guilford County;H07	precinct
1569	North Carolina;Guilford County;G10	precinct
1570	North Carolina;Guilford County;G12	precinct
1571	North Carolina;Guilford County;G15	precinct
1572	North Carolina;Guilford County;G59	precinct
1573	North Carolina;Guilford County;G56	precinct
1574	North Carolina;Guilford County;G53	precinct
1575	North Carolina;Guilford County;GR	precinct
1576	North Carolina;Guilford County;G29	precinct
1577	North Carolina;Guilford County;G41B	precinct
1578	North Carolina;Guilford County;SF1	precinct
1579	North Carolina;Guilford County;NCLAY2	precinct
1580	North Carolina;Guilford County;NCGR1	precinct
1581	North Carolina;Guilford County;MON2B	precinct
1582	North Carolina;Guilford County;H16	precinct
1583	North Carolina;Guilford County;G38	precinct
1584	North Carolina;Guilford County;G62	precinct
1585	North Carolina;Guilford County;G65	precinct
1586	North Carolina;Guilford County;H21	precinct
1587	North Carolina;Guilford County;H24	precinct
1588	North Carolina;Guilford County;H03	precinct
1589	North Carolina;Guilford County;JAM1	precinct
1590	North Carolina;Guilford County;ABS/PROV/CURB 1	precinct
1591	North Carolina;Guilford County;PG2	precinct
1592	North Carolina;Guilford County;FR4	precinct
1593	North Carolina;Guilford County;G05	precinct
1594	North Carolina;Guilford County;CG3B	precinct
1595	North Carolina;Guilford County;CG3A	precinct
1596	North Carolina;Guilford County;H19B	precinct
1597	North Carolina;Guilford County;G68	precinct
1598	North Carolina;Guilford County;H04	precinct
1599	North Carolina;Guilford County;JEF1	precinct
1600	North Carolina;Guilford County;JAM2	precinct
1601	North Carolina;Guilford County;G40B	precinct
1602	North Carolina;Guilford County;G69	precinct
1603	North Carolina;Guilford County;G66	precinct
1604	North Carolina;Guilford County;G63	precinct
1605	North Carolina;Guilford County;G60	precinct
1606	North Carolina;Guilford County;G42B	precinct
1607	North Carolina;Guilford County;G02	precinct
1608	North Carolina;Guilford County;G39	precinct
1609	North Carolina;Guilford County;MON3	precinct
1610	North Carolina;Guilford County;OR1	precinct
1611	North Carolina;Guilford County;SDRI	precinct
1612	North Carolina;Guilford County;H05	precinct
1613	North Carolina;Graham County;WEST	precinct
1614	North Carolina;Graham County;EAST	precinct
1615	North Carolina;Graham County;TAPO	precinct
1616	North Carolina;Graham County;STEC	precinct
1617	North Carolina;Gates County;PROVISIONAL	provisional
1618	North Carolina;Gates County;4S	precinct
1619	North Carolina;Gates County;4N	precinct
1620	North Carolina;Gates County;ONE STOP 1	vote-center
1621	North Carolina;Gates County;5	precinct
1622	North Carolina;Gates County;ABSENTEE	absentee
1623	North Carolina;Gates County;1	precinct
1624	North Carolina;Gates County;2	precinct
1625	North Carolina;Gates County;ONE STOP 2	vote-center
1626	North Carolina;Gates County;3	precinct
1627	North Carolina;Franklin County;07	precinct
1628	North Carolina;Franklin County;14	precinct
1629	North Carolina;Franklin County;19	precinct
1630	North Carolina;Franklin County;11	precinct
1631	North Carolina;Franklin County;16	precinct
1632	North Carolina;Franklin County;01	precinct
1633	North Carolina;Franklin County;02	precinct
1634	North Carolina;Franklin County;08	precinct
1635	North Carolina;Franklin County;05	precinct
1636	North Carolina;Franklin County;13	precinct
1637	North Carolina;Franklin County;18	precinct
1638	North Carolina;Franklin County;06	precinct
1639	North Carolina;Franklin County;03	precinct
1640	North Carolina;Franklin County;10	precinct
1641	North Carolina;Franklin County;09	precinct
1642	North Carolina;Franklin County;12	precinct
1643	North Carolina;Franklin County;17	precinct
1644	North Carolina;Franklin County;15	precinct
1645	North Carolina;Greene County;SHIN	precinct
1646	North Carolina;Greene County;MAUR	precinct
1647	North Carolina;Greene County;SH#1	precinct
1648	North Carolina;Greene County;BEAR	precinct
1649	North Carolina;Greene County;HOOK	precinct
1650	North Carolina;Greene County;TRANSFER	transfer
1651	North Carolina;Greene County;PROVISIONAL	provisional
1652	North Carolina;Greene County;ARBA	precinct
1653	North Carolina;Greene County;CAST	precinct
1654	North Carolina;Greene County;SUGG	precinct
1655	North Carolina;Greene County;ONE STOP	vote-center
1656	North Carolina;Halifax County;ONE-STOP HALIFAX	precinct
1657	North Carolina;Halifax County;RR1-2	precinct
1658	North Carolina;Halifax County;RR 4	precinct
1659	North Carolina;Halifax County;RR 7	precinct
1660	North Carolina;Halifax County;ABSENTEE	absentee
1661	North Carolina;Halifax County;RR 11	precinct
1662	North Carolina;Halifax County;ONE-STOP SCOTLAND NECK	precinct
1663	North Carolina;Halifax County;RR 10	precinct
1664	North Carolina;Halifax County;RRC	precinct
1665	North Carolina;Halifax County;RR 3	precinct
1666	North Carolina;Halifax County;PROVISIONAL	provisional
1667	North Carolina;Halifax County;ONE-STOP ROANOKE RAPIDS	precinct
1668	North Carolina;Halifax County;RR 5	precinct
1669	North Carolina;Halifax County;FAUCT	precinct
1670	North Carolina;Halifax County;BUTWD	precinct
1671	North Carolina;Halifax County;HOL	precinct
1672	North Carolina;Halifax County;HAL	precinct
1673	North Carolina;Halifax County;WEL1-2	precinct
1674	North Carolina;Halifax County;SN	precinct
1675	North Carolina;Halifax County;ENF 2	precinct
1676	North Carolina;Halifax County;CONC	precinct
1677	North Carolina;Halifax County;LIT 2	precinct
1678	North Carolina;Halifax County;LIT 1	precinct
1679	North Carolina;Halifax County;WEL 3	precinct
1680	North Carolina;Halifax County;RINGW	precinct
1681	North Carolina;Halifax County;ENF1	precinct
1682	North Carolina;Halifax County;HPR	precinct
1683	North Carolina;Halifax County;RR 9	precinct
1684	North Carolina;Haywood County;ABSENTEE	absentee
1685	North Carolina;Haywood County;BE-3	precinct
1686	North Carolina;Haywood County;JC	precinct
1687	North Carolina;Haywood County;EF	precinct
1688	North Carolina;Haywood County;CE	precinct
1689	North Carolina;Haywood County;AC	precinct
1690	North Carolina;Haywood County;LJ	precinct
1691	North Carolina;Haywood County;BC	precinct
1692	North Carolina;Haywood County;PROVISIONAL	provisional
1693	North Carolina;Haywood County;HA	precinct
1694	North Carolina;Haywood County;BE-7	precinct
1695	North Carolina;Haywood County;FC-1	precinct
1696	North Carolina;Haywood County;PC	precinct
1697	North Carolina;Haywood County;SA	precinct
1698	North Carolina;Haywood County;ID	precinct
1699	North Carolina;Haywood County;BE-2	precinct
1700	North Carolina;Haywood County;CR	precinct
1701	North Carolina;Haywood County;CURBSIDE	curbside
1702	North Carolina;Haywood County;CL-N	precinct
1703	North Carolina;Haywood County;BE56	precinct
1704	North Carolina;Haywood County;WC	precinct
1705	North Carolina;Haywood County;BE-4	precinct
1706	North Carolina;Haywood County;BE-1	precinct
1707	North Carolina;Haywood County;CL-S	precinct
1708	North Carolina;Haywood County;P	precinct
1709	North Carolina;Haywood County;IH	precinct
1710	North Carolina;Haywood County;WS-1	precinct
1711	North Carolina;Haywood County;WS-2	precinct
1712	North Carolina;Haywood County;FC-2	precinct
1713	North Carolina;Haywood County;WW	precinct
1714	North Carolina;Haywood County;WO	precinct
1715	North Carolina;Haywood County;WE	precinct
1716	North Carolina;Henderson County;PROVISIONAL	provisional
1717	North Carolina;Henderson County;SE	precinct
