	Name	ReportingUnitType
161	North Carolina;NC Senate District 42	state-senate
162	North Carolina;NC Senate District 43	state-senate
163	North Carolina;NC Senate District 44	state-senate
164	North Carolina;NC Senate District 45	state-senate
165	North Carolina;NC Senate District 46	state-senate
166	North Carolina;NC Senate District 47	state-senate
167	North Carolina;NC Senate District 48	state-senate
168	North Carolina;NC Senate District 49	state-senate
169	North Carolina;NC Senate District 50	state-senate
170	North Carolina;US House NC District 1	congressional
171	North Carolina;US House NC District 2	congressional
172	North Carolina;US House NC District 3	congressional
173	North Carolina;US House NC District 4	congressional
174	North Carolina;US House NC District 5	congressional
175	North Carolina;US House NC District 6	congressional
176	North Carolina;US House NC District 7	congressional
177	North Carolina;US House NC District 8	congressional
178	North Carolina;US House NC District 9	congressional
179	North Carolina;US House NC District 10	congressional
180	North Carolina;US House NC District 11	congressional
181	North Carolina;US House NC District 12	congressional
182	North Carolina;US House NC District 13	congressional
183	North Carolina	state
184	North Carolina;Alamance County	county
185	North Carolina;Alexander County	county
186	North Carolina;Alleghany County	county
187	North Carolina;Anson County	county
188	North Carolina;Ashe County	county
189	North Carolina;Avery County	county
190	North Carolina;Beaufort County	county
191	North Carolina;Bertie County	county
192	North Carolina;Bladen County	county
193	North Carolina;Brunswick County	county
194	North Carolina;Buncombe County	county
195	North Carolina;Burke County	county
196	North Carolina;Cabarrus County	county
197	North Carolina;Caldwell County	county
198	North Carolina;Camden County	county
199	North Carolina;Carteret County	county
200	North Carolina;Caswell County	county
201	North Carolina;Catawba County	county
202	North Carolina;Chatham County	county
203	North Carolina;Cherokee County	county
204	North Carolina;Chowan County	county
205	North Carolina;Clay County	county
206	North Carolina;Cleveland County	county
207	North Carolina;Columbus County	county
208	North Carolina;Craven County	county
209	North Carolina;Cumberland County	county
210	North Carolina;Currituck County	county
211	North Carolina;Dare County	county
212	North Carolina;Davidson County	county
213	North Carolina;Davie County	county
214	North Carolina;Duplin County	county
215	North Carolina;Durham County	county
216	North Carolina;Edgecombe County	county
217	North Carolina;Forsyth County	county
218	North Carolina;Franklin County	county
219	North Carolina;Gaston County	county
220	North Carolina;Gates County	county
221	North Carolina;Graham County	county
222	North Carolina;Granville County	county
223	North Carolina;Greene County	county
224	North Carolina;Guilford County	county
225	North Carolina;Halifax County	county
226	North Carolina;Harnett County	county
227	North Carolina;Haywood County	county
228	North Carolina;Henderson County	county
229	North Carolina;Hertford County	county
230	North Carolina;Hoke County	county
231	North Carolina;Hyde County	county
232	North Carolina;Iredell County	county
233	North Carolina;Jackson County	county
234	North Carolina;Johnston County	county
235	North Carolina;Jones County	county
236	North Carolina;Lee County	county
237	North Carolina;Lenoir County	county
238	North Carolina;Lincoln County	county
239	North Carolina;Macon County	county
240	North Carolina;Madison County	county
241	North Carolina;Martin County	county
242	North Carolina;Mcdowell County	county
243	North Carolina;Mecklenburg County	county
244	North Carolina;Mitchell County	county
245	North Carolina;Montgomery County	county
246	North Carolina;Moore County	county
247	North Carolina;Nash County	county
248	North Carolina;New Hanover County	county
249	North Carolina;Northampton County	county
250	North Carolina;Onslow County	county
251	North Carolina;Orange County	county
252	North Carolina;Pamlico County	county
253	North Carolina;Pasquotank County	county
254	North Carolina;Pender County	county
255	North Carolina;Perquimans County	county
256	North Carolina;Person County	county
257	North Carolina;Pitt County	county
258	North Carolina;Polk County	county
259	North Carolina;Randolph County	county
260	North Carolina;Richmond County	county
261	North Carolina;Robeson County	county
262	North Carolina;Rockingham County	county
263	North Carolina;Rowan County	county
264	North Carolina;Rutherford County	county
265	North Carolina;Sampson County	county
266	North Carolina;Scotland County	county
267	North Carolina;Stanly County	county
268	North Carolina;Stokes County	county
269	North Carolina;Surry County	county
270	North Carolina;Swain County	county
271	North Carolina;Transylvania County	county
272	North Carolina;Tyrrell County	county
273	North Carolina;Union County	county
274	North Carolina;Vance County	county
275	North Carolina;Wake County	county
276	North Carolina;Warren County	county
277	North Carolina;Washington County	county
278	North Carolina;Watauga County	county
279	North Carolina;Wayne County	county
280	North Carolina;Wilkes County	county
281	North Carolina;Wilson County	county
282	North Carolina;Yadkin County	county
283	North Carolina;Yancey County	county
284	North Carolina;Alamance County;05	precinct
285	North Carolina;Alamance County;02	precinct
286	North Carolina;Alamance County;09N	precinct
287	North Carolina;Alamance County;03C	precinct
288	North Carolina;Alamance County;1210	precinct
289	North Carolina;Alamance County;103	precinct
290	North Carolina;Alamance County;125	precinct
291	North Carolina;Alamance County;127	precinct
292	North Carolina;Alamance County;06E	precinct
293	North Carolina;Alamance County;13	precinct
294	North Carolina;Alamance County;03W	precinct
295	North Carolina;Alamance County;12W	precinct
296	North Carolina;Alamance County;035	precinct
297	North Carolina;Alamance County;09S	precinct
298	North Carolina;Alamance County;128	precinct
299	North Carolina;Alamance County;08S	precinct
300	North Carolina;Alamance County;08N	precinct
301	North Carolina;Alamance County;10N	precinct
302	North Carolina;Alamance County;06W	precinct
303	North Carolina;Alamance County;063	precinct
304	North Carolina;Alamance County;10S	precinct
