BallotName	Party
JACK BERGMAN	Republican Party
JACK O'MALLEY	Republican Party
JACOB STRALEY	Green Party
JAMES A. LOWER	Republican Party
JAMES K. YOUNG	Libertarian Party
JAMES LEWIS HUDLER	Libertarian Party
JAMES S. CASHA	No Party Affiliation
JAMES STEPHENS	Republican Party
JAMES TOWNSEND	Republican Party
JAMIE LEWIS	Libertarian Party
JANET FLESSLAND	Republican Party
JANET M. SANGER	Republican Party
JASON B. REES	Libertarian Party
JASON M. SHEPPARD	Republican Party
JASON NOBLE	Democratic Party
JASON WENTWORTH	Republican Party
JAZMINE M. EARLY	Republican Party
JEAN E. HOLLAND	Republican Party
JEANETTE SCHIPPER	Democratic Party
JEFF BONNELL	Republican Party
JEFF IRWIN	Democratic Party
JEFF JONES	Republican Party
JEFF NOBLE	Republican Party
JEFF PITTEL	Libertarian Party
JEFF YAROCH	Republican Party
JENNIFER ANIANO	Democratic Party
JENNIFER SUIDAN	Democratic Party
JENNIFER V. KURLAND	Green Party
JEREMY MORGAN	Libertarian Party
JEREMY MOSS	Democratic Party
JEREMY PERUSKI	No Party Affiliation
JERRY HILLIARD	Democratic Party
JERRY SIAS	Democratic Party
JESSICIA SMITH	Green Party
JEWELL JONES	Democratic Party
JIM ANANICH	Democratic Party
JIM ELLISON	Democratic Party
JIM HAADSMA	Democratic Party
JIM LILLY	Republican Party
JIM PAGE	Democratic Party
JIM RUNESTAD	Republican Party
JIM STAMAS	Republican Party
JOANNE SCHMIDT GALLOWAY	Democratic Party
JOCELYN BENSON	Democratic Party
JODY RICE-WHITE	Republican Party
"JOE BELLINO, JR."	Republican Party
JOE FARRINGTON	No Party Affiliation
JOE SANGER	Republican Party
JOE TATE	Democratic Party
JOE WEIR	Democratic Party
JOEY B. ANDREWS	Democratic Party
JOHN ANTHONY LA PIETRA	Green Party
JOHN ARTHUR WILLIAMS	No Party Affiliation
JOHN BIZON	Republican Party
JOHN CHIRKUN	Democratic Party
JOHN CONYERS III	No Party Affiliation
JOHN D. CHERRY	Democratic Party
JOHN HOWARD WILHELM	Natural Law Party
JOHN J. TATAR	Libertarian Party
JOHN JAMES	Republican Party
JOHN JASCOB	Libertarian Party
JOHN MOOLENAAR	Republican Party
JOHN P. SPICA	Democratic Party
JOHN PALFFY	Republican Party
JOHN PAUL SANGER	Republican Party
JOHN REILLY	Republican Party
JOHN T. HARGENRADER	Libertarian Party
JOHN V. MCDERMOTT	Green Party
JON BUMSTEAD	Republican Party
JON ELGAS	Libertarian Party
JON HOADLEY	Democratic Party
JONATHAN LEE POMMERVILLE	No Party Affiliation
JOSEPH H. LEBLANC	Libertarian Party
JOSEPH P. GILLOTTE	Libertarian Party
JOSHUA RIVARD	Democratic Party
JUDITH P. PRITCHETT	Democratic Party
JULIA PULVER	Democratic Party
JULIE A. CALLEY	Republican Party
JULIE ALEXANDER	Republican Party
JULIE BRIXIE	Democratic Party
JUSTIN AMASH	Republican Party
KARA HOPE	Democratic Party
KAREN ADAMS	Republican Party
KAREN WHITSETT	Democratic Party
KATHY GOODWIN	Republican Party
KATHY S. CRAWFORD	Republican Party
KATHY STECKER	Republican Party
KATHY WIEJACZKA	Democratic Party
KATIE NEPTON	Libertarian Party
KEITH BUTKOVICH	Natural Law Party
KELLY A. BREEN	Democratic Party
KELLY CHARRON TEBAY	Democratic Party
KELLY ROSSMAN-MCKINNEY	Democratic Party
KEN HORN	Republican Party
KEN SUMMERS	Democratic Party
KERRY LEE MORGAN	No Party Affiliation
KEVIN A. GRAVES	Green Party
KEVIN COLEMAN	Democratic Party
KEVIN DALEY	Republican Party
KEVIN HERTEL	Democratic Party
KIM LASATA	Republican Party
KIMBERLY BIZON	Democratic Party
KIMBERLY HILL KNOTT	No Party Affiliation
KRESTA TRAIN	Democratic Party
KRISTEN BROWN	Democratic Party
KRISTY PAGAN	Democratic Party
KURTIS T. WILDER	No Party Affiliation
KYLE COOPER	Democratic Party
KYLE MCKEE	Republican Party
