Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Washington	2016 General	US President (WA)	Washington	total	3209214	official-final		
Washington	2016 General	WA Attorney General	Washington	total	2979909	official-final		
Washington	2016 General	WA Senate District 22	Washington	total	68868	official-final		
Washington	2016 General	WA House District 37 Position 1	Washington	total	62801	official-final		
Washington	2018 General	US Senate WA	Washington	total	3086168	official-final		
Washington	2018 General	WA Senate District 13	Washington	total	38038	official-final		
Washington	2018 General	WA House District 9 Position 1	Washington	total	52909	official-final		
Washington	2020 General	US President (WA)	Washington	total	4087631	official-final		
Washington	2020 General	US House WA District 7	Washington	total	466462	official-final		
Washington	2020 General	WA Senate District 14	Washington	total	53640	official-final		
Washington	2020 General	WA House District 11 Position 1	Washington	total	58977	official-final		
Washington	2020 General	US President (WA)	Washington;Pierce County	total	464081	official-final		
Washington	2020 Primary	WA Attorney General	Washington	total	2430736	official-final		
Washington	2020 Primary	WA Senate District 11	Washington	total	31652	official-final		
Washington	2020 Primary	WA House District 7 Position 1	Washington	total	55618	official-final		
Washington	2000 General	US President (WA)	Washington	total	2488441	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Washington	2004 General	US President (WA)	Washington	total	2859084	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Washington	2008 General	US President (WA)	Washington	total	3036878	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Washington	2012 General	US President (WA)	Washington	total	3125516	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
