Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Kentucky	2020 General	US President (KY)	Kentucky	total	2136768	official-final		
Kentucky	2020 General	US House KY District 3	Kentucky	total	367999	official-final		
Kentucky	2020 General	KY Senate District 15	Kentucky	total	47096	official-final		
Kentucky	2020 General	KY House District 1	Kentucky	total	17836	official-final		
Kentucky	2020 General	US President (KY)	Kentucky;Adair County	total	8768	official-final		
Kentucky	2000 General	US President (KY)	Kentucky	total	1544187	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Kentucky	2004 General	US President (KY)	Kentucky	total	1795860	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Kentucky	2008 General	US President (KY)	Kentucky	total	1826508	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Kentucky	2012 General	US President (KY)	Kentucky	total	1797212	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Kentucky	2016 General	US President (KY)	Kentucky	total	1924149	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
