Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Oregon	2020 General	US President (OR)	Oregon	total	2374321	official-final		
Oregon	2020 General	US House OR District 3	Oregon	total	470506	official-final		
Oregon	2020 General	OR Senate District 9	Oregon	total	75204	official-final		
Oregon	2020 General	OR House District 1	Oregon	total	40849	official-final		
Oregon	2020 General	US President (OR)	Oregon;Multnomah County	total	463659	official-final		
Oregon	2000 General	US President (OR)	Oregon	total	1533968	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oregon	2004 General	US President (OR)	Oregon	total	1836782	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oregon	2008 General	US President (OR)	Oregon	total	1827864	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oregon	2012 General	US President (OR)	Oregon	total	1789270	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Oregon	2016 General	US President (OR)	Oregon	total	2001336	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
