Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
North Dakota	2020 General	US President (ND)	North Dakota	total	361819	official-final		
North Dakota	2020 General	US House ND District 1	North Dakota	total	355598	official-final		
North Dakota	2020 General	ND Senate District 2	North Dakota	total	10059	official-final		
North Dakota	2020 General	ND House District 4	North Dakota	total	12530	official-final		
North Dakota	2020 General	US President (ND)	North Dakota;Adams County	total	1269	official-final		
North Dakota	2000 General	US President (ND)	North Dakota	total	288267	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
North Dakota	2004 General	US President (ND)	North Dakota	total	312833	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
North Dakota	2008 General	US President (ND)	North Dakota	total	316621	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
North Dakota	2012 General	US President (ND)	North Dakota	total	322932	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
North Dakota	2016 General	US President (ND)	North Dakota	total	344360	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
