Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Maryland	2020 General	US President (MD)	Maryland	total	3037031	official-final		
Maryland	2020 General	US House MD District 1	Maryland	total	395524	official-final		
Maryland	2020 General	US President (MD)	Maryland	early	983985	official-final		
