Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Mississippi	2020 General	US President (MS)	Mississippi	total	1313759	official-final		
Mississippi	2020 General	US President (MS)	Mississippi;Adams County	total	13759	official-final		
