Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
South Carolina	2018 General	SC Governor	South Carolina	total	1707569	official-final		
South Carolina	2018 General	US House SC District 3	South Carolina	total	226204	official-final		
South Carolina	2018 General	SC House District 1	South Carolina	total	11444	official-final		
South Carolina	2018 General	SC Governor	South Carolina;Dillon County	total	8194	official-final		
South Carolina	2018 General	SC Governor	South Carolina	election-day	1707569	official-final		
South Carolina	2020 General	US President (SC)	South Carolina	total	2513329	official-final		
South Carolina	2020 General	US House SC District 3	South Carolina	total	333564	official-final		
South Carolina	2020 General	SC Senate District 15	South Carolina	total	65017	official-final		
South Carolina	2020 General	SC House District 1	South Carolina	total	17535	official-final		
South Carolina	2020 General	US President (SC)	South Carolina	absentee-mail	438522	official-final		
South Carolina	2020 General	US President (SC)	South Carolina;Allendale County	total	3593	official-final		
South Carolina	2020 Democratic Primary	US President (SC)	South Carolina	total	539263	official-final		
South Carolina	2020 Republican Primary	US Senate SC	South Carolina	total	469043	official-final		
South Carolina	2020 Republican Primary	SC Senate District 8	South Carolina	total	13838	official-final		
South Carolina	2020 Democratic Primary	SC House District 75	South Carolina	total	3863	official-final		
South Carolina	2020 Democratic Primary	SC House District 75	South Carolina	absentee-mail	1106	official-final		
South Carolina	2000 General	US President (SC)	South Carolina	total	1383777	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Carolina	2004 General	US President (SC)	South Carolina	total	1617730	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Carolina	2008 General	US President (SC)	South Carolina	total	1920969	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Carolina	2012 General	US President (SC)	South Carolina	total	1964118	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
South Carolina	2016 General	US President (SC)	South Carolina	total	2103027	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
