Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
District of Columbia	2020 General	US President (DC)	District of Columbia	total	344356	official-final		
District of Columbia	2020 General	US House DC District 1	District of Columbia	total	294773	official-final		
District of Columbia	2020 General	DC Council District 4	District of Columbia	total	42489	official-final
District of Columbia	2020 General	US President (DC)	District of Columbia;Ward 6	total	62918	official-final		
District of Columbia	2000 General	US President (DC)	District of Columbia	total	201894	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
District of Columbia	2004 General	US President (DC)	District of Columbia	total	227586	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
District of Columbia	2008 General	US President (DC)	District of Columbia	total	265853	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
District of Columbia	2012 General	US President (DC)	District of Columbia	total	293764	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
District of Columbia	2016 General	US President (DC)	District of Columbia	total	311268	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
