Name	ElectionDistrict
KS Senate District 36	Kansas;KS Senate District 36
KS Senate District 37	Kansas;KS Senate District 37
KS Senate District 38	Kansas;KS Senate District 38
KS Senate District 39	Kansas;KS Senate District 39
KS Senate District 40	Kansas;KS Senate District 40
US House KS District 1	Kansas;US House KS District 1
US House KS District 2	Kansas;US House KS District 2
US House KS District 3	Kansas;US House KS District 3
US House KS District 4	Kansas;US House KS District 4
US President (KS)	Kansas
KS Governor	Kansas
US Senate KS	Kansas
KS Attorney General	Kansas
KS Lieutenant Governor	Kansas
KS State Treasurer	Kansas
KS Secretary of State	Kansas
